index;macroprestazione;testo;cod_valoremedio_liquidazione;testo_pulito
33355;procedure clinico assistenziali;Gestione Tracheo;017T;gestione tracheo
33357;Medicazione semplice;Medicazione cute lesa;017T;medicazione cute lesa
33358;Medicazioni Avanzate;Medicazione lesioni decubito;017T;medicazione lesioni decubito
33359;Educazione Sanitaria;educazione caregiver alla corretta mobilizzazione/postura paziente;017T;educazione caregiver alla corretta mobilizzazionepostura paziente
33360;Educazione Sanitaria;Educazione al care giver;017T;educazione al care giver
33361;procedure clinico assistenziali;terapia idratante sottocutanea;017T;terapia idratante sottocutanea
33362;Educazione Sanitaria;Educazione alla gestione di una terapia;017T;educazione alla gestione di una terapia
33364;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione NPT;017T;somministrazione npt
33365;procedure clinico assistenziali;GESTIONE NE/NPT;017T;gestione nenpt
33367;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo venoso;017T;prelievo venoso
33368;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusioni endovenose;017T;infusioni endovenose
33370;procedure clinico assistenziali;Prestazioni diagnostiche;017T;prestazioni diagnostiche
33371;procedure clinico assistenziali;Prelievo capillare per terapia tao;017T;prelievo capillare per terapia tao
33372;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia EV;017T;terapia ev
33373;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;017T;gestione accessi venosi centrali
33374;Medicazione semplice;Fasciature e bendaggi;017T;fasciature e bendaggi
33375;Medicazione semplice;gestione ferite chirurgiche;017T;gestione ferite chirurgiche
33376;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa e sottocutanea in infusione;017T;terapia endovenosa e sottocutanea in infusione
33377;procedure clinico assistenziali;gestione urostomie;017T;gestione urostomie
33378;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione PICC;017T;gestione picc
33379;procedure clinico assistenziali;Terapia im;017T;terapia im
33380;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;017T;terapie endovenose
33381;procedure clinico assistenziali;Gestione NPT/ terapie endovenose/ sottocutanea;017T;gestione npt terapie endovenose sottocutanea
33382;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;TERAPIE ENDOVENOSE;017T;terapie endovenose
33384;procedure clinico assistenziali;Sostituzione e gestione della peg;017T;sostituzione e gestione della peg
33385;Monitoraggi e Misurazioni;Rilevazione parametri vitali;017T;rilevazione parametri vitali
33386;Medicazione semplice;Fasciature/ bendaggi;017T;fasciature bendaggi
33388;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Esecuzione indagini biomurali;017T;esecuzione indagini biomurali
33389;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Nutrizione parenterale;017T;nutrizione parenterale
33391;Educazione Sanitaria;Educazione caregiver;017T;educazione caregiver
33394;Educazione Sanitaria;Colloquio con il care giver;017T;colloquio con il care giver
33395;procedure clinico assistenziali;rimozioni punti di sutura;017T;rimozioni punti di sutura
33396;procedure clinico assistenziali;Gestione tracheostomia;017T;gestione tracheostomia
33397;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie endovenose;017T;terapie endovenose
33399;procedure clinico assistenziali;GESTIONE Sondino naso gastrici;017T;gestione sondino naso gastrici
33401;procedure clinico assistenziali;gestione urostomie;017T;gestione urostomie
33402;procedure clinico assistenziali;Gestione tracheo;017T;gestione tracheo
33403;Medicazione semplice;Fasciatura semplice;017T;fasciatura semplice
33404;procedure clinico assistenziali;Terapia infusionale reidratante sottocutanea;017T;terapia infusionale reidratante sottocutanea
33405;procedure clinico assistenziali;Posizionamento e gestione catetere vescicale;017T;posizionamento e gestione catetere vescicale
33408;Educazione Sanitaria;Educazione del caregiver alla gestione del sng/peg;017T;educazione del caregiver alla gestione del sngpeg
33409;procedure clinico assistenziali;Somministrazione terapia sottocute;017T;somministrazione terapia sottocute
33410;procedure clinico assistenziali;Terapia iniettiva sottocutanea;017T;terapia iniettiva sottocutanea
33411;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;017T;terapia ev
33412;Monitoraggi e Misurazioni;Monitoraggio parametri vitali;017T;monitoraggio parametri vitali
33413;Educazione Sanitaria;Istruzione gare giver nel riconoscere e soddisfare  i bisogni  assistenziali della persona;017T;istruzione gare giver nel riconoscere e soddisfare  i bisogni  assistenziali della persona
33414;procedure clinico assistenziali;Gestione sng;017T;gestione sng
33415;procedure clinico assistenziali;Terapia sottocutanea;017T;terapia sottocutanea
33416;procedure clinico assistenziali;Prelevo capillare;017T;prelevo capillare
33418;procedure clinico assistenziali;Gestione e medicazione Port a cath;017T;gestione e medicazione port a cath
33419;procedure clinico assistenziali;Gestione Stomie;017T;gestione stomie
33420;procedure clinico assistenziali;stomie;017T;stomie
33422;procedure clinico assistenziali;Posizionamento CVP e terapia iniettiva;017T;posizionamento cvp e terapia iniettiva
33423;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo arterioso per EGA;017T;prelievo arterioso per ega
33424;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo arterioso per EGA;017T;prelievo arterioso per ega
33425;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione terapia antibiotica ev;017T;somministrazione terapia antibiotica ev
33427;procedure clinico assistenziali;Gestione nutrizione parenterale;017T;gestione nutrizione parenterale
33428;procedure clinico assistenziali;Infusione sottocutaneo;017T;infusione sottocutaneo
33431;procedure clinico assistenziali;ECG;017T;ecg
33432;Educazione Sanitaria;Counseling breve;017T;counseling breve
33433;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;017T;gestione picc
33435;procedure clinico assistenziali;Gestione terapie parenterali;017T;gestione terapie parenterali
33436;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione PICC;017T;gestione picc
33437;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie EV SC IM;017T;terapie ev sc im
33439;procedure clinico assistenziali;Gestione alvo;017T;gestione alvo
33440;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico, posizionamento e gestione catetere vescicale, medicazione chirurgica, medicazioni ldp, posizionamento gestione sng, terapia iniettiva im, SC, ev. Gestione alvo, gestione ntp da picc e porth a cath, prelievo arterioso per ega. Prelievo ca;017T;prelievo ematico posizionamento e gestione catetere vescicale medicazione chirurgica medicazioni ldp posizionamento gestione sng terapia iniettiva im sc ev gestione alvo gestione ntp da picc e porth a cath prelievo arterioso per ega prelievo ca
33441;procedure clinico assistenziali;Gestione alvo;017T;gestione alvo
33442;procedure clinico assistenziali;idratazione;017T;idratazione
33443;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;indagini bioumorali;017T;indagini bioumorali
33446;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione Picc;017T;gestione picc
33447;procedure clinico assistenziali;Esecuzione tamponi covid;017T;esecuzione tamponi covid
33448;Medicazioni Avanzate;Medicazioni Chirurgiche;017T;medicazioni chirurgiche
33449;Educazione Sanitaria;Colloquio ed educazione al care-giver;017T;colloquio ed educazione al caregiver
33450;procedure clinico assistenziali;Prelievo capillare;017T;prelievo capillare
33451;procedure clinico assistenziali;Terapia iniettiva;017T;terapia iniettiva
33452;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi campioni diagnostici in base alla prescrizione;017T;prelievi campioni diagnostici in base alla prescrizione
33453;PAI, pianificazione, valutazione;Rivalutazioni domiciliari con la nutrizionista;017T;rivalutazioni domiciliari con la nutrizionista
33454;procedure clinico assistenziali;Gestione dimissione protetta;017T;gestione dimissione protetta
33455;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venoso;017T;prelievo venoso
33456;Medicazione semplice;gestione ferite chirurgiche;017T;gestione ferite chirurgiche
33459;procedure clinico assistenziali;Aspirazione;017T;aspirazione
33460;procedure clinico assistenziali;Gestione peg;017T;gestione peg
33462;Medicazione semplice;Fasciature;017T;fasciature
33463;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017T;gestione cvc
33464;procedure clinico assistenziali;Rettoclisi;017T;rettoclisi
33465;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;017T;terapia endovenosa
33466;Medicazione semplice;trattamento ferite chirurgiche;017T;trattamento ferite chirurgiche
33467;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev e sc;017T;terapia ev e sc
33468;procedure clinico assistenziali;Terapia IM;017T;terapia im
33469;procedure clinico assistenziali;Gestione drenaggi;017T;gestione drenaggi
33470;procedure clinico assistenziali;Rettoclisi;017T;rettoclisi
33471;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione antibiotico terapia ev;017T;somministrazione antibiotico terapia ev
33472;procedure clinico assistenziali;Terapie infusionali sottocute;017T;terapie infusionali sottocute
33474;procedure clinico assistenziali;Gestione cateteteri venosi centrali;017T;gestione cateteteri venosi centrali
33475;procedure clinico assistenziali;Catetere vescicale;017T;catetere vescicale
33476;procedure clinico assistenziali;gestione di SNG;017T;gestione di sng
33480;procedure clinico assistenziali;prelievo capillare con determinazione inr;017T;prelievo capillare con determinazione inr
33482;procedure clinico assistenziali;Gestione drenaggi;017T;gestione drenaggi
33483;procedure clinico assistenziali;esami strumentali;017T;esami strumentali
33487;procedure clinico assistenziali;Gestione peg;017T;gestione peg
33488;Educazione Sanitaria;Addestramento del cargiver;017T;addestramento del cargiver
33489;procedure clinico assistenziali;Sostituzione sondino naso gastrico;017T;sostituzione sondino naso gastrico
33491;procedure clinico assistenziali;Gestione catetere vescicale;017T;gestione catetere vescicale
33492;procedure clinico assistenziali;Terapia orale;017T;terapia orale
33493;procedure clinico assistenziali;Igene personale;017T;igene personale
33494;procedure clinico assistenziali;gestione peg;017T;gestione peg
33495;procedure clinico assistenziali;Gestione nutrizione enterale;017T;gestione nutrizione enterale
33496;procedure clinico assistenziali;Gestione enterostomie;017T;gestione enterostomie
33497;Educazione Sanitaria;Trasferimento competenze caregive;017T;trasferimento competenze caregive
33498;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionsle;017T;terapia infusionsle
33499;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Nutrizione parenterale;017T;nutrizione parenterale
33500;procedure clinico assistenziali;Gestione nutrizione enterle (sng/peg);017T;gestione nutrizione enterle sngpeg
33501;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia ev;017T;terapia ev
33502;Medicazione semplice;Fasciature;017T;fasciature
33503;procedure clinico assistenziali;Gestione peg/sng;017T;gestione pegsng
33504;procedure clinico assistenziali;inserimenti sondini nasogastrici;017T;inserimenti sondini nasogastrici
33505;Educazione Sanitaria;Educazione care giver;017T;educazione care giver
33506;Medicazioni Avanzate;Prevenzione lesioni da pressione;017T;prevenzione lesioni da pressione
33517;procedure clinico assistenziali;Nutrizione enterale;017T;nutrizione enterale
33521;procedure clinico assistenziali;Somministrazione clistere evacuativo;080T;somministrazione clistere evacuativo
33524;procedure clinico assistenziali;Cure igieniche;105T;cure igieniche
33529;Monitoraggi e Misurazioni;Misurazione parametri vitali;004T;misurazione parametri vitali
33535;procedure clinico assistenziali;Somministrazioni farmaci per via intramosculare;019T;somministrazioni farmaci per via intramosculare
33546;procedure clinico assistenziali;Gestione stomia;075T;gestione stomia
33558;procedure clinico assistenziali;Clistere evacuativo;080T;clistere evacuativo
33559;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
33571;procedure clinico assistenziali;Controllo e gestione peg;055T;controllo e gestione peg
33573;procedure clinico assistenziali;Gestione nutrizione enterale;055T;gestione nutrizione enterale
33574;procedure clinico assistenziali;Terapia sottocutanea;019T;terapia sottocutanea
33576;Monitoraggi e Misurazioni;Rilevamento e monitoraggio dei parametri vitali;004T;rilevamento e monitoraggio dei parametri vitali
33578;Monitoraggi e Misurazioni;rilevazione pv;004T;rilevazione pv
33579;procedure clinico assistenziali;Sotto cutanee;019T;sotto cutanee
33588;procedure clinico assistenziali;Mobilizzazione al letto e in carrozzina;091T;mobilizzazione al letto e in carrozzina
33592;procedure clinico assistenziali;Gestione ventilatore meccanico e niv;045T;gestione ventilatore meccanico e niv
33593;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione picc/porth;007T;gestione piccporth
33594;Educazione Sanitaria;educazione alla gestione dell'alvo;075T;educazione alla gestione dellalvo
33595;procedure clinico assistenziali;gestione alvo;075T;gestione alvo
33598;procedure clinico assistenziali;alimentazione enterale e parenterale;017T;alimentazione enterale e parenterale
33600;Medicazioni Avanzate;medicazioni lesioni difficili;031T;medicazioni lesioni difficili
33601;Medicazioni Avanzate;MEDICAZIONI SEMPLICI E COMPLESSE;031T;medicazioni semplici e complesse
33602;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie ev e im;019T;terapie ev e im
33603;procedure clinico assistenziali;gestione dispositivi peg;055T;gestione dispositivi peg
33605;procedure clinico assistenziali;gestione sng;055T;gestione sng
33611;procedure clinico assistenziali;Gestione peg;055T;gestione peg
33612;Medicazione semplice;gestione della medicazione semplice;031T;gestione della medicazione semplice
33613;procedure clinico assistenziali;gestione del dolore;004T;gestione del dolore
33615;Educazione Sanitaria;Educazione sanitaria;122R;educazione sanitaria
33616;procedure clinico assistenziali;Clistere con sonda;080T;clistere con sonda
33617;procedure clinico assistenziali;Clisma;080T;clisma
33619;Educazione Sanitaria;educazione sanitaria care giver;122R;educazione sanitaria care giver
33620;Educazione Sanitaria;educazione a corretta applicazione delle indicazioni farmacologiche o terapeutiche affidate al care giver;122R;educazione a corretta applicazione delle indicazioni farmacologiche o terapeutiche affidate al care giver
33621;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
33622;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
33623;procedure clinico assistenziali;gestione e cambio peg e sondini ng;055T;gestione e cambio peg e sondini ng
33626;procedure clinico assistenziali;gestione e cambio PEG, SNG;055T;gestione e cambio peg sng
33627;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestioni accessi venosi periferici,terapie intramuscolari;029T;gestioni accessi venosi perifericiterapie intramuscolari
33630;procedure clinico assistenziali;Bendaggi;022T;bendaggi
33631;procedure clinico assistenziali;Gestione stomie;075T;gestione stomie
33632;procedure clinico assistenziali;Gestione catetere vescicale;065T;gestione catetere vescicale
33633;procedure clinico assistenziali;mobilizzazione;091T;mobilizzazione
33634;Educazione Sanitaria;educazione paziente e care giver;122R;educazione paziente e care giver
33635;procedure clinico assistenziali;somministrazione di terapie parenterali, idratazioni;016T;somministrazione di terapie parenterali idratazioni
33639;Educazione Sanitaria;educazione e addestramento care giver;122R;educazione e addestramento care giver
33642;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;007T;gestione accessi venosi centrali
33643;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
33648;Medicazioni Avanzate;med.avanzate;032T;medavanzate
33649;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
33651;Medicazioni Avanzate;medicazione udp;032T;medicazione udp
33652;Monitoraggi e Misurazioni;rilevazione parametri;004T;rilevazione parametri
33655;Educazione Sanitaria;educazione mobilizzazione attiva e passiva;091T;educazione mobilizzazione attiva e passiva
33656;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE ACESSI VENOSI CENTRALI;007T;gestione acessi venosi centrali
33657;procedure clinico assistenziali;gestione terapia orale;019T;gestione terapia orale
33659;procedure clinico assistenziali;terapia intramuscolare;019T;terapia intramuscolare
33660;procedure clinico assistenziali;GESTIONE PEG;055T;gestione peg
33662;procedure clinico assistenziali;GESTIONE E CAMBIO PEG E SNG;055T;gestione e cambio peg e sng
33663;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
33670;procedure clinico assistenziali;gestione cateteri venosi centrali;007T;gestione cateteri venosi centrali
33671;procedure clinico assistenziali;Terapia sottocutaneo e intramuscolare;019T;terapia sottocutaneo e intramuscolare
33673;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione Port a cath;007T;gestione port a cath
33674;procedure clinico assistenziali;gestione stomie varie;075T;gestione stomie varie
33675;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;033T;prelievo ematico
33676;Medicazione semplice;bendaggi elastocompressivi;023T;bendaggi elastocompressivi
33677;procedure clinico assistenziali;clistere medicato;080T;clistere medicato
33680;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
33682;procedure clinico assistenziali;iniezione intramuscolare;019T;iniezione intramuscolare
33683;procedure clinico assistenziali;Gestione stomie;075T;gestione stomie
33686;procedure clinico assistenziali;gestione urostomie;075T;gestione urostomie
33688;procedure clinico assistenziali;gestione peg;055T;gestione peg
33689;Medicazioni Avanzate;MEDICAZIONI COMPLESSE;031T;medicazioni complesse
33691;procedure clinico assistenziali;gestione del dolore;004T;gestione del dolore
33692;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE ACCESSI VENOSI CENTRALI;007T;gestione accessi venosi centrali
33693;procedure clinico assistenziali;Gestione NET e NPT;017T;gestione net e npt
33694;Monitoraggi e Misurazioni;Parametri vitali, misurazione;004T;parametri vitali misurazione
33696;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia endovenosa;016T;gestione terapia endovenosa
33697;procedure clinico assistenziali;gestione PEG;017T;gestione peg
33698;Educazione Sanitaria;supporto al paziente e alla famiglia;122R;supporto al paziente e alla famiglia
33699;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;016T;terapia endovenosa
33700;procedure clinico assistenziali;gestione cateteri vescicali;065T;gestione cateteri vescicali
33701;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
33703;procedure clinico assistenziali;gestione sng;055T;gestione sng
33704;procedure clinico assistenziali;Igiene;105T;igiene
33706;procedure clinico assistenziali;terapia s/c;019T;terapia sc
33708;procedure clinico assistenziali;terapia intramuscolare;019T;terapia intramuscolare
33709;Medicazioni Avanzate;medicazioni complesse;031T;medicazioni complesse
33712;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
33715;procedure clinico assistenziali;GESTIONE STOMIE;075T;gestione stomie
33716;Medicazione semplice;medicazione e lavaggio picc;007T;medicazione e lavaggio picc
33722;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione porth;007T;gestione porth
33723;procedure clinico assistenziali;gestione alvo;075T;gestione alvo
33724;procedure clinico assistenziali;igiene;105T;igiene
33725;Educazione Sanitaria;EDUCAZIONE SANITARIA PAZIENTE E CARE-GIVER;122T;educazione sanitaria paziente e caregiver
33729;procedure clinico assistenziali;enteroclismi;080T;enteroclismi
33731;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo ematico;033T;prelievo ematico
33735;Monitoraggi e Misurazioni;rilevazione parametri vitali;004T;rilevazione parametri vitali
33736;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;somministrazione terapie per via endovenosa;016T;somministrazione terapie per via endovenosa
33738;Medicazioni Avanzate;TPN;016T;tpn
33739;Educazione Sanitaria;educazione sanitaria al care giver di attrezzature elettromedicali;122R;educazione sanitaria al care giver di attrezzature elettromedicali
33741;Medicazione semplice;Medicazioni ferite chirurgiche;031T;medicazioni ferite chirurgiche
33742;Medicazione semplice;gestione ferite chirurgiche;031T;gestione ferite chirurgiche
33745;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
33747;Educazione Sanitaria;istruzione care giver;122R;istruzione care giver
33748;Medicazioni Avanzate;gestione medicaz;031T;gestione medicaz
33751;procedure clinico assistenziali;Gestione Alvo;085T;gestione alvo
33753;procedure clinico assistenziali;net;017T;net
33756;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione porth;007T;gestione porth
33757;procedure clinico assistenziali;gestione stomie(uro,tracheo....);075T;gestione stomieurotracheo
33758;procedure clinico assistenziali;gestione dell'alvo;085T;gestione dellalvo
33761;Cure Palliative;terapia del dolore;004T;terapia del dolore
33762;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie iniettive;019T;terapie iniettive
33765;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venoso;033T;prelievo venoso
33766;procedure clinico assistenziali;Cateterismo vescicale;065T;cateterismo vescicale
33767;procedure clinico assistenziali;clisma evacuativo;080T;clisma evacuativo
33769;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi periferici;029T;gestione accessi venosi periferici
33771;procedure clinico assistenziali;clisma evacuativo;080T;clisma evacuativo
33773;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
33775;Medicazione semplice;bendaggi elastocompressivi arti inferiori;023T;bendaggi elastocompressivi arti inferiori
33779;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione catetere venosi centrali;007T;gestione catetere venosi centrali
33781;Monitoraggi e Misurazioni;rilevazione parametri vitali;004T;rilevazione parametri vitali
33784;procedure clinico assistenziali;nutrizione enterale;017T;nutrizione enterale
33785;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;007T;gestione accessi venosi centrali
33788;procedure clinico assistenziali;gestione catetere vescicale;065T;gestione catetere vescicale
33789;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
33791;procedure clinico assistenziali;Gestione stomie;075T;gestione stomie
33792;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
33798;procedure clinico assistenziali;Gestione Sondino-Nasogastrico;055T;gestione sondinonasogastrico
33799;procedure clinico assistenziali;Controllo glicemia hgt;004T;controllo glicemia hgt
33800;procedure clinico assistenziali;E.C.G.;029T;ecg
33801;procedure clinico assistenziali;Igiene del pz;105T;igiene del pz
33802;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;033T;prelievi ematici
33803;procedure clinico assistenziali;Bendaggi;023T;bendaggi
33804;procedure clinico assistenziali;gestione cateteri vescicali ed alvo;065T;gestione cateteri vescicali ed alvo
33805;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;033T;prelievi venosi
33806;procedure clinico assistenziali;gestione stomie e urostomie;075T;gestione stomie e urostomie
33808;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapie infusionali;016T;gestione terapie infusionali
33810;Medicazione semplice;medicazioni chirurgiche;031T;medicazioni chirurgiche
33812;procedure clinico assistenziali;GESTIONE TRACHEO;045T;gestione tracheo
33816;Educazione Sanitaria;educazione sanitaria stomie;075T;educazione sanitaria stomie
33818;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
33820;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc e port;007T;gestione picc e port
33823;Medicazioni Avanzate;med. e bendaggi per ulcere arti inferiori;023T;med e bendaggi per ulcere arti inferiori
33824;procedure clinico assistenziali;NPT;016T;npt
33825;Monitoraggi e Misurazioni;Parametri vitali;004T;parametri vitali
33828;procedure clinico assistenziali;enteroclismi;080T;enteroclismi
33830;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
33831;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
33832;procedure clinico assistenziali;iniezioni sottocutanee;019T;iniezioni sottocutanee
33833;Educazione Sanitaria;supporto relazionale per i pz  caregiver e parenti in tutte quelle condizioni di morbilita' che lo richiedono specialmente nei casi pediatrici;169R;supporto relazionale per i pz  caregiver e parenti in tutte quelle condizioni di morbilita che lo richiedono specialmente nei casi pediatrici
33836;Educazione Sanitaria;Educazione alla gestione delle npt;016T;educazione alla gestione delle npt
33837;procedure clinico assistenziali;Clisma;080T;clisma
33839;procedure clinico assistenziali;sostituzione tracheo;045T;sostituzione tracheo
33842;Medicazioni Avanzate;Medicazione decubiti;032T;medicazione decubiti
33843;procedure clinico assistenziali;gestione NET;017T;gestione net
33844;Educazione Sanitaria;educazione alla gestione della peg e cambio peg;122R;educazione alla gestione della peg e cambio peg
33845;procedure clinico assistenziali;gestione tracheostomia;045T;gestione tracheostomia
33848;procedure clinico assistenziali;SOSTITUZIONI TRACHEO;045T;sostituzioni tracheo
33849;procedure clinico assistenziali;Sostituzione tracheo;045T;sostituzione tracheo
33851;Educazione Sanitaria;Educazione al paziente e alla famiglia;122R;educazione al paziente e alla famiglia
33852;Educazione Sanitaria;Educazione al paziente e alla famiglia;122R;educazione al paziente e alla famiglia
33853;procedure clinico assistenziali;Posizionamento e gestione SNG;055T;posizionamento e gestione sng
33854;procedure clinico assistenziali;GESTIONE PEG;055T;gestione peg
33856;procedure clinico assistenziali;Gestione alvo;080T;gestione alvo
33873;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVO EMATICO;033T;prelievo ematico
33874;Educazione Sanitaria;Educazione del paziente / caregiver (prevenzione lesioni da pressione - gestione del paziente cateterizzato - gestione del paziente con nutrizione parenterale/enterale);122R;educazione del paziente  caregiver prevenzione lesioni da pressione  gestione del paziente cateterizzato  gestione del paziente con nutrizione parenteraleenterale
33877;Educazione Sanitaria;Addestramento caregiver;122R;addestramento caregiver
33878;procedure clinico assistenziali;Clisteri;080T;clisteri
33879;procedure clinico assistenziali;Gestione Nutrizione parenterale;016T;gestione nutrizione parenterale
33881;Educazione Sanitaria;educazione sanitaria;122R;educazione sanitaria
33885;Monitoraggi e Misurazioni;Rilevazione parametri vitali;004T;rilevazione parametri vitali
33892;Medicazione semplice;Bendaggio elasto compressivo;023T;bendaggio elasto compressivo
33899;Medicazione semplice;Bendaggi eslasto compressi;023T;bendaggi eslasto compressi
33900;procedure clinico assistenziali;Sostituzione Peg;055T;sostituzione peg
33902;procedure clinico assistenziali;Idratazione tramite Peg;055T;idratazione tramite peg
33907;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione prelievi;033T;gestione prelievi
33908;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione prelievi;033T;gestione prelievi
33911;Medicazioni Avanzate;Medicazioni avanzate;032T;medicazioni avanzate
33912;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
33914;procedure clinico assistenziali;Gestione stomie;075T;gestione stomie
33915;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
33916;Educazione Sanitaria;educazione e counseling;122R;educazione e counseling
33917;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;007T;gestione cvc
33919;procedure clinico assistenziali;gestione nutrizione enterale;017T;gestione nutrizione enterale
33922;procedure clinico assistenziali;gestione stomie;075T;gestione stomie
33926;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici;033T;prelievi ematici
33931;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;033T;prelievi
33934;Educazione Sanitaria;Educazione al caregiver;122R;educazione al caregiver
33936;Educazione Sanitaria;supporto psicologico;169R;supporto psicologico
33937;Educazione Sanitaria;Addestramento ed educazione sanitaria;122R;addestramento ed educazione sanitaria
33938;Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia SC;019T;terapia sc
33939;procedure clinico assistenziali;TERAPIA  SC/IM;019T;terapia  scim
33940;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
33942;procedure clinico assistenziali;gestione nutrizione enterale;017T;gestione nutrizione enterale
33943;procedure clinico assistenziali;Mobilizzazione;091T;mobilizzazione
33946;procedure clinico assistenziali;Gestione alvo;075T;gestione alvo
