index	macroprestazione	testo	testo_pulito	cod_valoremedio_liquidazione
35296	Educazione Sanitaria	educazione sanitaria caregiver	educazione sanitaria caregiver	122R
35297	Medicazione semplice	MEDICAZIONI FERITA CHIRURGICA	medicazioni ferita chirurgica	031T
35299	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc	gestione cvc	007T
35300	Medicazione semplice	medicazioni chirurgiche	medicazioni chirurgiche	031T
35304	procedure clinico assistenziali	clistere evacuativo	clistere evacuativo	080T
35306	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc ed NPT	gestione cvc ed npt	016T
35308	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia EV	terapia ev	007T
35310	procedure clinico assistenziali	Gestione tev	gestione tev	007T
35311	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione terapia infusiva	gestione terapia infusiva	007T
35313	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	GESTIONE PORT- ACATH	gestione port acath	007T
35314	Educazione Sanitaria	Sostegno psicologico	sostegno psicologico	169R
35316	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Cvc	cvc	007T
35318	procedure clinico assistenziali	gestione/educazione SNG	gestioneeducazione sng	016T
35319	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	fleboterapia	fleboterapia	016T
35321	procedure clinico assistenziali	ecg	ecg	029T
35322	procedure clinico assistenziali	ecg	ecg	029T
35323	procedure clinico assistenziali	effettuazione elettrocardiogramma a domicilio	effettuazione elettrocardiogramma a domicilio	029T
35324	procedure clinico assistenziali	ECG	ecg	029T
35325	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione terapie	gestione terapie	019T
35326	procedure clinico assistenziali	GESTIONE INTRADERMICHE	gestione intradermiche	019T
35327	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione terapia endovenosa	gestione terapia endovenosa	016T
35331	Educazione Sanitaria	addestramento care giver	addestramento care giver	122R
35333	Educazione Sanitaria	istruzione caregiver	istruzione caregiver	122R
35334	procedure clinico assistenziali	gestione traheostomie	gestione traheostomie	045T
35337	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	POSIZIONAMENTO AGOCANNULA	posizionamento agocannula	023T
35338	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Idratazione (sottocute, endovena, antibiotici)	idratazione sottocute endovena antibiotici	021T
35339	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cateteri venosi centrali, picc, porth	gestione cateteri venosi centrali picc porth	007T
35340	procedure clinico assistenziali	NPT	npt	016T
35341	procedure clinico assistenziali	gestione cateteri venosi centrali	gestione cateteri venosi centrali	007T
35342	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
35343	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione picc	gestione picc	007T
35344	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
35345	Medicazione semplice	Medicazioni chirurgiche	medicazioni chirurgiche	031T
35346	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione prelievi e impegnative varie	gestione prelievi e impegnative varie	033T
35347	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi endovenosi	prelievi endovenosi	033T
35348	procedure clinico assistenziali	gestione stomie	gestione stomie	075T
35350	Medicazioni Avanzate	medicazioni lesioni 1-2-3-4° stadio	medicazioni lesioni  stadio	032T
35356	procedure clinico assistenziali	Gestione ventilazione meccanica	gestione ventilazione meccanica	045T
35357	procedure clinico assistenziali	gestione peg	gestione peg	055T
35359	Medicazioni Avanzate	lesioni chirurgiche	lesioni chirurgiche	031T
35360	Medicazione semplice	gestione ferite chirurgiche	gestione ferite chirurgiche	031T
35362	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	accessi venosi centali	accessi venosi centali	007T
35364	Medicazioni Avanzate	gestione lpd	gestione lpd	032T
35365	Educazione Sanitaria	NUTRIZIONI (EDUCAZIONE SANITARIA  CAREGIVER ALLA NAD)	nutrizioni educazione sanitaria  caregiver alla nad	056T
35367	Medicazioni Avanzate	Ulcere arto inferiore	ulcere arto inferiore	032T
35368	Medicazione semplice	medicazioni chirugiche	medicazioni chirugiche	031T
35373	procedure clinico assistenziali	Gestione npt	gestione npt	055T
35374	Educazione Sanitaria	rieducazione	rieducazione	122R
35376	Educazione Sanitaria	Educazione gestione terapia infusiva	educazione gestione terapia infusiva	019T
35380	procedure clinico assistenziali	gestione sng	gestione sng	055T
35381	procedure clinico assistenziali	gestione peg /pompa alimentazione	gestione peg pompa alimentazione	052T
35382	procedure clinico assistenziali	gestione e supporto terapia con addensanti	gestione e supporto terapia con addensanti	035T
35387	procedure clinico assistenziali	effettuazione di elettrocardiogrammi	effettuazione di elettrocardiogrammi	029T
35390	procedure clinico assistenziali	Gestione e posizionamento Peg	gestione e posizionamento peg	055T
35392	procedure clinico assistenziali	Esecuzione elettrocardiogramma	esecuzione elettrocardiogramma	029T
35395	procedure clinico assistenziali	mobilizzazione e postura	mobilizzazione e postura	091T
35396	Educazione Sanitaria	EDUCAZIONE MOBILIZZAZIONE/MOVIMENTAZIONE	educazione mobilizzazionemovimentazione	091T
35397	procedure clinico assistenziali	Gestione NE e NPT	gestione ne e npt	055T
35398	procedure clinico assistenziali	mobilizzazione e postura	mobilizzazione e postura	091T
35399	procedure clinico assistenziali	Gestione enterostomie e urostomie	gestione enterostomie e urostomie	055T
35402	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	idratazione endovenosa e sottocutanea	idratazione endovenosa e sottocutanea	016T
35403	procedure clinico assistenziali	gestione sng	gestione sng	055T
35404	procedure clinico assistenziali	Gestione enterostomie e urostomie	gestione enterostomie e urostomie	075T
35405	procedure clinico assistenziali	GESTIONE STOMIE	gestione stomie	075T
35406	Monitoraggi e Misurazioni	scheda rilevazioni dolore	scheda rilevazioni dolore	004T
35407	Medicazione semplice	gestione ferite chirurgiche e drenaggi	gestione ferite chirurgiche e drenaggi	004T
35409	Educazione Sanitaria	colloquio con caregiver	colloquio con caregiver	122R
35410	Educazione Sanitaria	educazione sanitaria ai pazienti ed ai caregivers	educazione sanitaria ai pazienti ed ai caregivers	122R
35411	procedure clinico assistenziali	pazienti con nutrizione enterale,portatori di peg eventuali SNG	pazienti con nutrizione enteraleportatori di peg eventuali sng	055T
35412	procedure clinico assistenziali	Gestione NE e NPT	gestione ne e npt	055T
35413	procedure clinico assistenziali	gestione enterostomie e urostomie	gestione enterostomie e urostomie	004T
35415	Monitoraggi e Misurazioni	rilevazione parametri vitali	rilevazione parametri vitali	004T
35420	procedure clinico assistenziali	Nutrizioni parenterali	nutrizioni parenterali	031T
35421	procedure clinico assistenziali	SNG	sng	031T
35422	procedure clinico assistenziali	cateteri vescicali	cateteri vescicali	031T
35424	procedure clinico assistenziali	Assistenza paziente	assistenza paziente	031T
35425	PAI, pianificazione, valutazione	Valutazione multidisciplinare	valutazione multidisciplinare	031T
35426	procedure clinico assistenziali	Manovre facilitatorie per l'alvo	manovre facilitatorie per lalvo	031T
35427	Educazione Sanitaria	Supporto ai caregivers	supporto ai caregivers	031T
35428	PAI, pianificazione, valutazione	Valutazioni multidisciplinari	valutazioni multidisciplinari	031T
35429	Educazione Sanitaria	Educazione procedure terapeutiche	educazione procedure terapeutiche	031T
35430	procedure clinico assistenziali	Gestione Peg	gestione peg	031T
35432	procedure clinico assistenziali	Cateterismo vescicale	cateterismo vescicale	031T
35433	PAI, pianificazione, valutazione	Valutazione multidisciplinare	valutazione multidisciplinare	031T
35434	PAI, pianificazione, valutazione	Valutazione mono multiprofessionale	valutazione mono multiprofessionale	031T
35435	Educazione Sanitaria	Supporto	supporto	031T
35436	Cure Palliative	Assistenza terminalita' oncologica	assistenza terminalita oncologica	031T
35437	procedure clinico assistenziali	gestione peg e sng	gestione peg e sng	031T
35438	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	031T
35439	Educazione Sanitaria	Supporto al caregiver/utente	supporto al caregiverutente	031T
35440	Educazione Sanitaria	Educazione alla gestione dell utente allettato/ igiene	educazione alla gestione dell utente allettato igiene	031T
35441	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI	rilevazione parametri	031T
35442	procedure clinico assistenziali	ASSISTENZA VENTILAZIONE INVASIVA E NON	assistenza ventilazione invasiva e non	031T
35443	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Esecuzione prestazione occasionale di prelievo venoso	esecuzione prestazione occasionale di prelievo venoso	031T
35444	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione infusioni	gestione infusioni	031T
35445	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	031T
35446	Educazione Sanitaria	Educazione alle posture	educazione alle posture	031T
35447	Cure Palliative	Presa in carico pzt terminale	presa in carico pzt terminale	031T
35448	procedure clinico assistenziali	Clisteri	clisteri	031T
35449	Cure Palliative	Gestione dolore	gestione dolore	031T
35450	Cure Palliative	Gestione paziente terminale e terapia del dolore	gestione paziente terminale e terapia del dolore	031T
35451	procedure clinico assistenziali	Clisteri evaquativi	clisteri evaquativi	031T
35452	Cure Palliative	Cure palliative	cure palliative	031T
35453	Educazione Sanitaria	Supporto al card giver	supporto al card giver	031T
35454	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici da accessi venosi centrali	prelievi ematici da accessi venosi centrali	031T
35455	procedure clinico assistenziali	Esecuzione clistere	esecuzione clistere	031T
35456	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc e cvc, prelievi da questi ultimi e ecg	gestione picc e cvc prelievi da questi ultimi e ecg	031T
35458	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi da cvc e picc	prelievi da cvc e picc	031T
35459	procedure clinico assistenziali	Ipodermoclisi	ipodermoclisi	031T
35460	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievo ematico	prelievo ematico	031T
35461	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc porth cvc	gestione picc porth cvc	031T
35462	PAI, pianificazione, valutazione	Fornire materiale	fornire materiale	031T
35463	Cure Palliative	Assistenza terminalitá oncologica e non	assistenza terminalitá oncologica e non	031T
35464	procedure clinico assistenziali	Gestione/educazione PEG	gestioneeducazione peg	031T
35466	procedure clinico assistenziali	Drenaggi	drenaggi	031T
35467	procedure clinico assistenziali	ECG	ecg	031T
35468	procedure clinico assistenziali	clistere	clistere	031T
35473	procedure clinico assistenziali	Terapie enterali	terapie enterali	031T
35474	Medicazioni Avanzate	medicazioni LDP	medicazioni ldp	031T
35475	Medicazione semplice	Medicazioni cvc	medicazioni cvc	031T
35476	Educazione Sanitaria	supporto care-giver	supporto caregiver	031T
35477	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	031T
35478	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc/picc	gestione cvcpicc	031T
35479	procedure clinico assistenziali	gestione ferite  chirurgiche	gestione ferite  chirurgiche	031T
35480	procedure clinico assistenziali	cateterismi scuole	cateterismi scuole	031T
35481	PAI, pianificazione, valutazione	Valutazione prescrizione ausili letto/ materasso	valutazione prescrizione ausili letto materasso	031T
35482	Monitoraggi e Misurazioni	Misurazione parametri vitali	misurazione parametri vitali	031T
35483	Monitoraggi e Misurazioni	Rilevazione parametri vitali e dolore	rilevazione parametri vitali e dolore	031T
35484	Educazione Sanitaria	Colloquio con la famiglia	colloquio con la famiglia	031T
35485	procedure clinico assistenziali	Posizionamente/sostituzione catetere vescicale	posizionamentesostituzione catetere vescicale	031T
35487	procedure clinico assistenziali	Cambio sondino naso gastrico	cambio sondino naso gastrico	031T
35488	Cure Palliative	Gestione Paz cure palliative	gestione paz cure palliative	031T
35489	Cure Palliative	Gestione pazienti in cure palliative	gestione pazienti in cure palliative	031T
35490	Medicazione semplice	Gestione altri di medicazioni ( ferite chirurgiche, lesioni vascolari ecc.)	gestione altri di medicazioni  ferite chirurgiche lesioni vascolari ecc	031T
35491	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Somministrazione terapia endovena e sottocute	somministrazione terapia endovena e sottocute	031T
35493	procedure clinico assistenziali	Clismi evacuativi	clismi evacuativi	080T
35495	procedure clinico assistenziali	Drenaggio lesioni	drenaggio lesioni	031T
35496	Cure Palliative	Cure palliative	cure palliative	031T
35497	procedure clinico assistenziali	PEG controllo ancoraggio/ sostituzione	peg controllo ancoraggio sostituzione	031T
35498	procedure clinico assistenziali	Gestione peg	gestione peg	031T
35499	Medicazioni Avanzate	Medicazioni urostomie e nefrostomie	medicazioni urostomie e nefrostomie	031T
35502	PAI, pianificazione, valutazione	Sedazione palliativa	sedazione palliativa	031T
35503	PAI, pianificazione, valutazione	Prescrizione ausili	prescrizione ausili	031T
35506	procedure clinico assistenziali	Sostituzione SNG	sostituzione sng	031T
35507	procedure clinico assistenziali	Ipodermoclisi	ipodermoclisi	031T
35510	procedure clinico assistenziali	Esecuzione clistere	esecuzione clistere	031T
35511	Medicazioni Avanzate	Medicazione e gestione drenaggi di vari genere	medicazione e gestione drenaggi di vari genere	031T
35512	Educazione Sanitaria	Educazione preventiva	educazione preventiva	031T
35515	procedure clinico assistenziali	Somministrazione TP in ipodermoclisi	somministrazione tp in ipodermoclisi	031T
35516	Monitoraggi e Misurazioni	Controllo parametri vitali	controllo parametri vitali	031T
35517	Educazione Sanitaria	Educazione	educazione	031T
35518	Cure Palliative	sedazioni palliative	sedazioni palliative	031T
35519	Medicazioni Avanzate	Medicazione lesioni da pressione	medicazione lesioni da pressione	031T
35520	PAI, pianificazione, valutazione	Valutazioni multidisciplinari	valutazioni multidisciplinari	031T
35521	procedure clinico assistenziali	Rimozione pompa elastomero a chemioterapica	rimozione pompa elastomero a chemioterapica	031T
35522	procedure clinico assistenziali	Posizionamento cateteri vescicali	posizionamento cateteri vescicali	031T
35523	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Infusioni idratanti	infusioni idratanti	031T
35524	Educazione Sanitaria	addestramento care give	addestramento care give	031T
35525	Educazione Sanitaria	Educazione gestione stomie	educazione gestione stomie	031T
35526	Cure Palliative	Somministrazione di terapie infusione anche palliative	somministrazione di terapie infusione anche palliative	031T
35527	Educazione Sanitaria	Supervioni Paz fragili/ed sanitaria	supervioni paz fragilied sanitaria	031T
35528	Educazione Sanitaria	addestramento dell'utenza alle varie pratiche di nursing	addestramento dellutenza alle varie pratiche di nursing	031T
35529	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici e di materiale organico	prelievi ematici e di materiale organico	031T
35530	procedure clinico assistenziali	Sostituzione peg	sostituzione peg	031T
35531	procedure clinico assistenziali	Controllo diabete stix	controllo diabete stix	031T
35540	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
35541	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	infusione di terapia EV	infusione di terapia ev	016T
35543	Monitoraggi e Misurazioni	RILEVAZIONE PARAMETRI VITALI	rilevazione parametri vitali	044T
35547	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI EMATICI	prelievi ematici	033T
35548	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI	prelievi	033T
35550	procedure clinico assistenziali	CLISTERI	clisteri	080T
35553	procedure clinico assistenziali	GESTIONE PEG	gestione peg	055T
35558	Medicazioni Avanzate	Medicazioni	medicazioni	091T
35562	Medicazione semplice	MEDICAZIONE / SOSTITUZIONE PEG	medicazione  sostituzione peg	091T
35573	procedure clinico assistenziali	Posizionamento sng  sostituzione peg	posizionamento sng  sostituzione peg	055T
35575	Medicazione semplice	MEDICAZIONI CHIRURGICHE POST INTERVENTO	medicazioni chirurgiche post intervento	091T
35578	Educazione Sanitaria	EDUCAZIONE MOBILIZZAZIONE ED UTILIZZO AUSILI PER LA PREVENZIONE LESIONI DA PRESSIONE	educazione mobilizzazione ed utilizzo ausili per la prevenzione lesioni da pressione	091T
35580	procedure clinico assistenziali	TERAPIA SC	terapia sc	019T
35583	Medicazione semplice	medicazioni di ferite chirurgiche	medicazioni di ferite chirurgiche	031T
35593	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
35608	procedure clinico assistenziali	gestione alvo	gestione alvo	085T
35609	procedure clinico assistenziali	Gestione alvo	gestione alvo	085T
35623	procedure clinico assistenziali	gestione alvo	gestione alvo	075T
35628	procedure clinico assistenziali	Gestione peg	gestione peg	055T
35635	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	077T
35636	procedure clinico assistenziali	terapia intramuscolare	terapia intramuscolare	019T
35638	procedure clinico assistenziali	Gestione alvo, cavo orale, presidi respiratori, stomie...	gestione alvo cavo orale presidi respiratori stomie	156R
35640	procedure clinico assistenziali	Gestione educazione stomia	gestione educazione stomia	156R
35644	Monitoraggi e Misurazioni	Rilevazione pv	rilevazione pv	004T
35646	procedure clinico assistenziali	Gestione alvo	gestione alvo	085T
35647	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	085T
35649	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	077T
35650	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	077T
35660	procedure clinico assistenziali	mobilizzazione	mobilizzazione	091T
35662	Medicazioni Avanzate	medicazioni complesse	medicazioni complesse	032T
35667	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	044T
35669	procedure clinico assistenziali	gestione peg	gestione peg	055T
35671	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	033T
35685	procedure clinico assistenziali	Terapie attraverso varie vie di somministrazione, anche infusionali	terapie attraverso varie vie di somministrazione anche infusionali	019T
35686	procedure clinico assistenziali	gestione alvo	gestione alvo	075T
35687	procedure clinico assistenziali	Intramuscolo	intramuscolo	019T
35688	procedure clinico assistenziali	gestione stomia	gestione stomia	156R
35689	procedure clinico assistenziali	Gestione tp ( sc,im, orale, pilloliere)	gestione tp  scim orale pilloliere	019T
35690	procedure clinico assistenziali	Gestione stomie	gestione stomie	156R
35691	procedure clinico assistenziali	saturazione	saturazione	004T
35692	procedure clinico assistenziali	Gestione evacuazione	gestione evacuazione	085T
35693	procedure clinico assistenziali	Cateterismi vescicali, gestioni Peg, NE	cateterismi vescicali gestioni peg ne	065T
35699	procedure clinico assistenziali	Terapia intramuscolo	terapia intramuscolo	019T
35704	procedure clinico assistenziali	PEG	peg	055T
35705	procedure clinico assistenziali	Terapia intramuscolare, sottocute ecc	terapia intramuscolare sottocute ecc	019T
35707	Educazione Sanitaria	addestramento care giver (mobilizzazione, tecniche, gestione device)	addestramento care giver mobilizzazione tecniche gestione device	122R
35708	Educazione Sanitaria	supporto emotivo	supporto emotivo	169R
35709	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc	gestione cvc	007T
35712	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	007T
35713	Medicazione semplice	Bendaggio elas5ocompressivo	bendaggio elasocompressivo	023T
35717	procedure clinico assistenziali	Gestione NPT NE	gestione npt ne	016T
35718	Medicazioni Avanzate	Medicazione complessa	medicazione complessa	032T
35721	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione C.V.C.	gestione cvc	007T
35723	Medicazioni Avanzate	medicazioni avanzate e semplici	medicazioni avanzate e semplici	032T
35728	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	supporto per le emotrasfusioni	supporto per le emotrasfusioni	016T
35731	Educazione Sanitaria	colloquio con i famigliari	colloquio con i famigliari	169R
35732	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione th infusiva	gestione th infusiva	016T
35735	Monitoraggi e Misurazioni	Monitoraggio	monitoraggio	004T
35737	Educazione Sanitaria	Educazione Paz e caregivers	educazione paz e caregivers	122R
35741	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	007T
35744	procedure clinico assistenziali	Gestione catetere vescicale	gestione catetere vescicale	065T
35745	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	007T
35746	procedure clinico assistenziali	GESTIONE ALVO	gestione alvo	075T
35748	Educazione Sanitaria	ascolto e supporto	ascolto e supporto	169R
35753	procedure clinico assistenziali	effettuazione di clismi evacuanti ed addestramento ai caregiver per prevenzione e trattamento stipsi	effettuazione di clismi evacuanti ed addestramento ai caregiver per prevenzione e trattamento stipsi	080T
35754	Educazione Sanitaria	Educazione sanitaria/prevenzione	educazione sanitariaprevenzione	122R
35756	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	TERAPIA SC	terapia sc	019T
35757	Educazione Sanitaria	Educazione sanitaria e terapeutica	educazione sanitaria e terapeutica	122R
35759	procedure clinico assistenziali	gestione alvo	gestione alvo	075T
35769	procedure clinico assistenziali	clisteri evacuativi	clisteri evacuativi	080T
35772	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
35774	procedure clinico assistenziali	gestione PEG	gestione peg	055T
35779	procedure clinico assistenziali	bendaggi	bendaggi	023T
35782	Educazione Sanitaria	Counselling	counselling	169R
35789	procedure clinico assistenziali	Enteroclismi	enteroclismi	080T
35795	procedure clinico assistenziali	Posizionamento cateteri vescicali	posizionamento cateteri vescicali	065T
35800	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
35801	Educazione Sanitaria	Supporto nella gestione di stomie	supporto nella gestione di stomie	079T
35802	procedure clinico assistenziali	ECG	ecg	009T
35805	Monitoraggi e Misurazioni	rilevazione parametri	rilevazione parametri	004T
35807	procedure clinico assistenziali	terapie sc	terapie sc	019T
35808	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35813	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35814	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35819	procedure clinico assistenziali	clisteri- rettoclisi	clisteri rettoclisi	080T
35820	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35821	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cateteri venosi centrali	gestione cateteri venosi centrali	007T
35824	procedure clinico assistenziali	terapia nutrizionale parenterale	terapia nutrizionale parenterale	016T
35828	procedure clinico assistenziali	GESTIONE STOMIE	gestione stomie	079T
35832	Medicazione semplice	BENDAGGI ELASTO-COMPRESSIVO	bendaggi elastocompressivo	023T
35836	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione accessi venosi centrali	gestione accessi venosi centrali	007T
35840	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi per TAO	prelievi per tao	033T
35841	procedure clinico assistenziali	clisteri evacuativi	clisteri evacuativi	080T
35846	procedure clinico assistenziali	sostituzione catetere vescicale	sostituzione catetere vescicale	065T
35849	procedure clinico assistenziali	Gestione nutrizione parenterale	gestione nutrizione parenterale	016T
35858	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapie iniettive	terapie iniettive	019T
35860	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	033T
35861	Medicazione semplice	Fasciatura e bendaggi	fasciatura e bendaggi	023T
35863	Medicazione semplice	Fasciatura e bendaggi	fasciatura e bendaggi	023T
35864	PAI, pianificazione, valutazione	Rapporti con MMG ( richieste ecc)	rapporti con mmg  richieste ecc	038T
35872	Monitoraggi e Misurazioni	Rilevazione parametri	rilevazione parametri	004T
35873	Educazione Sanitaria	Assistenza ai caregiver	assistenza ai caregiver	122R
35879	procedure clinico assistenziali	Terapie im	terapie im	019T
35881	procedure clinico assistenziali	Cateterino vescicali	cateterino vescicali	065T
35882	Educazione Sanitaria	Educazione al Care giver	educazione al care giver	122R
35883	procedure clinico assistenziali	Gestione alvo	gestione alvo	075T
35884	Medicazioni Avanzate	Medicazione tracheotomie	medicazione tracheotomie	031T
35886	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc e port	gestione picc e port	007T
35888	Educazione Sanitaria	Istruire care giver	istruire care giver	122R
35889	procedure clinico assistenziali	Terapia IM, SC, EV	terapia im sc ev	016T
35892	procedure clinico assistenziali	Gestione tracheostomia	gestione tracheostomia	046T
35893	procedure clinico assistenziali	Bendaggi	bendaggi	023T
35897	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa,muscolare,sotto cute ...7	terapia endovenosamuscolaresotto cute 	016T
35898	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione Peg, PICC, CV, prelievo	gestione peg picc cv prelievo	007T
35901	procedure clinico assistenziali	Gestione alvo	gestione alvo	085T
35902	procedure clinico assistenziali	Gestione tracheostomia	gestione tracheostomia	046T
35904	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia EV	terapia ev	016T
35905	Educazione Sanitaria	Educazione Sanitaria	educazione sanitaria	122R
35907	Educazione Sanitaria	Ed.san.	edsan	122R
35914	procedure clinico assistenziali	Ipodermoclisi	ipodermoclisi	019T
35915	Educazione Sanitaria	educazione al pz e care giver	educazione al pz e care giver	122R
35916	Educazione Sanitaria	EDUCAZIONE SANITARIA	educazione sanitaria	122R
35920	procedure clinico assistenziali	gestione stomie	gestione stomie	079T
35921	procedure clinico assistenziali	IDRATAZIONE IN SOTTOCUTE	idratazione in sottocute	019T
35923	procedure clinico assistenziali	Clisteri	clisteri	080T
35926	Medicazioni Avanzate	medicazioni varie (LDD,PICC, ecc)	medicazioni varie lddpicc ecc	031T
35927	procedure clinico assistenziali	ipodermoclisi e terapia sottocute con elastomero	ipodermoclisi e terapia sottocute con elastomero	019T
35928	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	122R
35930	procedure clinico assistenziali	Gestione stomia	gestione stomia	079T
35932	procedure clinico assistenziali	gestione stomie	gestione stomie	079T
35933	Monitoraggi e Misurazioni	Rilevazione parametri vitali	rilevazione parametri vitali	004T
35934	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	065T
35935	Medicazioni Avanzate	medicazioni	medicazioni	031T
35936	procedure clinico assistenziali	relazione\supporto paziente	relazionesupporto paziente	169R
35937	procedure clinico assistenziali	clisteri	clisteri	080T
35938	PAI, pianificazione, valutazione	Visite congiunte con MMG	visite congiunte con mmg	038T
35943	procedure clinico assistenziali	ipodermoclisi	ipodermoclisi	019T
35944	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
35946	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35949	PAI, pianificazione, valutazione	contatti con mmg,assistenti sociali,caregiver	contatti con mmgassistenti socialicaregiver	038T
35952	procedure clinico assistenziali	clisteri	clisteri	080T
35953	procedure clinico assistenziali	cateterismo	cateterismo	065T
35954	PAI, pianificazione, valutazione	Valutazione generale	valutazione generale	002T
35955	procedure clinico assistenziali	ALIMENTAZIONE ENTERALE/PARENTERALE	alimentazione enteraleparenterale	016T
35956	procedure clinico assistenziali	clismi	clismi	080T
35957	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	122R
35960	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI	prelievi	033T
35962	procedure clinico assistenziali	Clisteri	clisteri	080T
35964	PAI, pianificazione, valutazione	visite con mmg, palliativista	visite con mmg palliativista	038T
35965	procedure clinico assistenziali	GESTIONE PEG	gestione peg	055T
35967	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
35968	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi ematici	prelievi ematici	033T
35969	procedure clinico assistenziali	terapia sc	terapia sc	019T
