Macroprestazione;Note infermieristiche;Prestazione da nomenclatore;;;
;;;;;
procedure clinico assistenziali;clisteri evacuativi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione device vascolari;017t;;;
;;;;;
Medicazione semplice;BENDAGGI;017t;;;
procedure clinico assistenziali;gestione tracheostomia;017t;;;
Educazione Sanitaria;educazione sanitaria;017t;;;
;;;;;
procedure clinico assistenziali;Gestione peg;017t;;;
Cure Palliative;supporto relazionale/ supporto al lutto;017t;;;
;;;;;
Medicazione semplice;Bendaggi elastocompressivi;017t;;;
procedure clinico assistenziali;Gestione tracheostomie;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
Educazione Sanitaria;educazione care giver;017t;;;
procedure clinico assistenziali;Gestione tracheo;017t;;;
procedure clinico assistenziali;Gestione NPT;017t;;;
;;;;;
Educazione Sanitaria;Educazione e addestramento care gives;017t;;;
;;;;;
Educazione Sanitaria;Educazione caregiver alla corretta somministrazione della Nutrizione e ferale;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;017t;;;
Medicazioni Avanzate;Medicazione ferite chirurgiche;017t;;;
procedure clinico assistenziali;gestione PEG;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione di farmaci;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia idratante endovenosa;017t;;;
Educazione Sanitaria;Educazione all'utilizzo e gestione di presidi;017t;;;
;;;;;
procedure clinico assistenziali;Gestione/sostituzione PEG;017t;;;
procedure clinico assistenziali;GESTIONE ACCESSI CENTRALI (PICC - PORT A CATH );017t;;;
;;;;;
procedure clinico assistenziali;Infusione terapia sc;017t;;;
Medicazioni Avanzate;Medicazioni;017t;;;
procedure clinico assistenziali;Posizionamento sostituzione SNG;017t;;;
Medicazioni Avanzate;Lesioni diabetiche;017t;;;
procedure clinico assistenziali;Somministrazione terapie endovenose;017t;;;
procedure clinico assistenziali;Gestione PEG;017t;;;
Medicazione semplice;Medicazione chirurgia;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;017t;;;
procedure clinico assistenziali;terapia infusiva sottocutanea;017t;;;
Medicazione semplice;bendaggi elastocompressivi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;017t;;;
procedure clinico assistenziali;Gestione PEG;017t;;;
procedure clinico assistenziali;Rettoclisi;017t;;;
Medicazione semplice;Rimozione punti di sutura;017t;;;
Educazione Sanitaria;Addestramento/ educazione familiari Careggi er;017t;;;
procedure clinico assistenziali;PRELIEVI CAPILLARI;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione di albumina;017t;;;
procedure clinico assistenziali;Rimozione punti di sutura e medicazione delle ferite chirurgiche;017t;;;
procedure clinico assistenziali;posizionamento accesso sottocutaneo e addestramento familiari alla gestione della terapia sottocutanea;017t;;;
;;;;;
Educazione Sanitaria;Educazione del caregiver;017t;;;
procedure clinico assistenziali;Terapie antibiotiche ev;017t;;;
;;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;017t;;;
;;;;;
;;;;;
Medicazione semplice;Medicazione ferite chirurgica;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie antibiotiche;017t;;;
Medicazione semplice;Rimozione punti di sutura;017t;;;
procedure clinico assistenziali;Somministrazione farmaci sottocute;017t;;;
;;;;;
procedure clinico assistenziali;GESTIONE Peg;017t;;;
;;;;;
procedure clinico assistenziali;gestione cv;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione PICC;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;Educazione alla prevenzione di lesioni da pressione;017t;;;
procedure clinico assistenziali;Somministrazione terapia intramuscolare;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione fleboclisi;017t;;;
Medicazioni Avanzate;Medicazione piede diabetico;017t;;;
procedure clinico assistenziali;Gestione CV;017t;;;
Educazione Sanitaria;Istruzione gare giver  su prevenzione lesioni antidecubito o addestramento alla cura delle lesioni;017t;;;
procedure clinico assistenziali;Gestione Npt;017t;;;
procedure clinico assistenziali;Terapia intramuscolare;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi venosi;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione e medicazione picc;017t;;;
procedure clinico assistenziali;Gestione NTP;017t;;;
procedure clinico assistenziali;determinazione inr tramite prelievo capillare;017t;;;
;;;;;
procedure clinico assistenziali;Inserimento Sondino naso gastrico;017t;;;
procedure clinico assistenziali;Gestione CVC (Port o PICC) per NPT;017t;;;
procedure clinico assistenziali;Gestione CVC (Port o PICC) per NPT;017t;;;
procedure clinico assistenziali;Gestione PICC o cateteri venosi centrali;017t;;;
;;;;;
procedure clinico assistenziali;Rimozioni punti di sutura;017t;;;
Medicazione semplice;Rimozione punti di sutura;017t;;;
procedure clinico assistenziali;Rettoclisi;017t;;;
;;;;;
procedure clinico assistenziali;Gestione peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione Cvc;017t;;;
;;;;;
procedure clinico assistenziali;Gestione tp sottocutanea;017t;;;
Medicazioni Avanzate;Medicazione Complessa;017t;;;
procedure clinico assistenziali;Prelievo capillare (TAO);017t;;;
;;;;;
procedure clinico assistenziali;Gestione ossigeno terapia;017t;;;
procedure clinico assistenziali;Prelievo ematico, posizionamento e gestione catetere vescicale, medicazione chirurgica, medicazioni ldp, posizionamento gestione sng, terapia iniettiva im, SC, ev. Gestione alvo, gestione ntp da picc e porth a cath, prelievo arterioso per ega. Prelievo ca;017t;;;
procedure clinico assistenziali;Gestione SNG;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi;017t;;;
Medicazione semplice;rimozione punti di sutura;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;posizionamento catetere vescicale;017t;;;
procedure clinico assistenziali;Esecuzione ega;017t;;;
Medicazioni Avanzate;Medicazioni Ldd;017t;;;
Educazione Sanitaria;Colloquio ed educazione al paziente;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;017t;;;
procedure clinico assistenziali;Gestione Picc e Port a cath;017t;;;
procedure clinico assistenziali;Consegna domiciliare farmaci presidi;017t;;;
procedure clinico assistenziali;Consegna presidi (nutrizionali);017t;;;
procedure clinico assistenziali;Nutrizione enterale;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
Medicazioni Avanzate;medicazioni semplici e complesse;017t;;;
;;;;;
;;;;;
Medicazione semplice;Fasciature;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Somministrazione endovenosa;017t;;;
;;;;;
procedure clinico assistenziali;Gestione tracheostomia;017t;;;
procedure clinico assistenziali;Terapia im;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017t;;;
procedure clinico assistenziali;Terapia sottocutanea;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusiva;017t;;;
procedure clinico assistenziali;Rettoclisi;017t;;;
procedure clinico assistenziali;Gestione sng, sostituzione e posizionamento;017t;;;
Medicazione semplice;Rimozione punti;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione PICC;017t;;;
;;;;;
procedure clinico assistenziali;Gestione trachestomia;017t;;;
Educazione Sanitaria;Educazione sanitaria;017t;;;
procedure clinico assistenziali;gestione di PEG;017t;;;
procedure clinico assistenziali;Terapie sottocutanee;017t;;;
;;;;;
;;;;;
Medicazioni Avanzate;lesioni da pressione;017t;;;
;;;;;
procedure clinico assistenziali;Gestione tracheostomia;017t;;;
Educazione Sanitaria;supporto psicologico, paziente e famiglia;017t;;;
;;;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico;017t;;;
procedure clinico assistenziali;Pulizia pic;017t;;;
procedure clinico assistenziali;Sostituzione peg;017t;;;
procedure clinico assistenziali;igiene personale e mobilizzazione;017t;;;
procedure clinico assistenziali;Gestione stomia;017t;;;
Medicazioni Avanzate;Trattamento lesioni vascolari;017t;;;
procedure clinico assistenziali;Gestione tracheostomia;017t;;;
procedure clinico assistenziali;somministrazione farmaco per via sottocutanea;017t;;;
procedure clinico assistenziali;Terapia iniettiva;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia infusionale;017t;;;
procedure clinico assistenziali;Gestione peg;017t;;;
procedure clinico assistenziali;Gestione Tracheostomia;017t;;;
procedure clinico assistenziali;Nutrizione enterale;017t;;;
procedure clinico assistenziali;Gestione nutrizione parenterale - gestione CVC (picc, port);017t;;;
procedure clinico assistenziali;Terapia im e sc;017t;;;
procedure clinico assistenziali;Terapia im e sc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017t;;;
procedure clinico assistenziali;lavaggio port e plic;017t;;;
procedure clinico assistenziali;Terapia iniettiva;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione pompa elastomerica;017t;;;
Educazione Sanitaria;Colloqui familiari;017t;;;
;;;;;
;;;;;
PAI, pianificazione, valutazione;Definizione del pai;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;Educazione sanitaria alla mobilizzazione e prevenzione di ldp;017t;;;
procedure clinico assistenziali;Somministrazione farmaci intramuscolare;017t;;;
;;;;;
;;;;;
altro;Gestione dei macchinari;017t;;;
;;;;;
;;;;;
;;;;;
procedure clinico assistenziali;Gestione tracheostomia e aspirazione secrezioni delle vie aeree;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Assistenza al pasto laddove è necessario;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;INSERIMENTO AGO CANNULA;017t;;;
;;;;;
procedure clinico assistenziali;Macchina della tosse;017t;;;
procedure clinico assistenziali;Somnistrazione terapia;017t;;;
;;;;;
procedure clinico assistenziali;posizionare corsetti, tutori...;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;GESTIONE ACCESSI VENOSI;017t;;;
;;;;;
Medicazioni Avanzate;Posizionamento e controllo Vac;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;Educazione sanitaria;017t;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Medicazione pic;017t;;;
Educazione Sanitaria;Educazione alla gestione stomia;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Fleboclisi;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;Terapia sottocutanea;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
procedure clinico assistenziali;Aerosolterapia;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Albumina infermiere;017t;;;
procedure clinico assistenziali;Cambio peg;017t;;;
;;;;;
;;;;;
;;;;;
Monitoraggi e Misurazioni;Rilevazione dei parametri vitali;017t;;;
procedure clinico assistenziali;Gestione NE/NP;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Posizionamento cvp;017t;;;
Medicazioni Avanzate;Medicazioni stomie;017t;;;
procedure clinico assistenziali;Gestione cateterismo urinarie comprese le derivazioni;017t;;;
procedure clinico assistenziali;Preparazione terapia os;017t;;;
;;;;;
Medicazioni Avanzate;Medicazione complessa;017t;;;
;;;;;
Educazione Sanitaria;educazione sanitaria;017t;;;
procedure clinico assistenziali;Intramuscolo;017t;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
altro;Pulizia degli apparecchi elettromedicali;017t;;;
procedure clinico assistenziali;Preparazione della terapia fino al prossimo turno;017t;;;
;;;;;
;;;;;
;;;;;
Educazione Sanitaria;Istruzione caregiver;017t;;;
procedure clinico assistenziali;gestione/educazione net-nad;017t;;;
procedure clinico assistenziali;gestione alimentazione parenterale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione port;017t;;;
Educazione Sanitaria;consulenza infermieristica;017t;;;
;;;;;
procedure clinico assistenziali;gestione stomie;017t;;;
;;;;;
procedure clinico assistenziali;gestione drenaggi addominali e toracici;017t;;;
procedure clinico assistenziali;MOBILIZZAZIONE E POSIZIONAMENTO;017t;;;
Educazione Sanitaria;educazione socio assistenziale e prevenzione udp;017t;;;
PAI, pianificazione, valutazione;somministrazione di scale;017t;;;
PAI, pianificazione, valutazione;Valutazione condizioni Cliniche generali, dei bisogni assistenziali;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
procedure clinico assistenziali;gestione drenaddi addominali e biliari;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017t;;;
procedure clinico assistenziali;Gestione catetere vescicale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione picc;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia ev;017t;;;
;;;;;
Cure Palliative;Terapie per il dolore;017t;;;
procedure clinico assistenziali;Somministrazione farmaci im;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;017t;;;
procedure clinico assistenziali;gestione catetere vescicale;017t;;;
procedure clinico assistenziali;gestioni nefrostomie;017t;;;
Educazione Sanitaria;assistenza ed informazioni riguardo all'uso dei presidi dati in dotazione;017t;;;
procedure clinico assistenziali;gestione drenaggi(toracico,addominale);017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;preparazione dispositivi infusionali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;017t;;;
procedure clinico assistenziali;Bendaggi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Infusione albimona;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;017t;;;
procedure clinico assistenziali;gestioni uretorostomie;017t;;;
procedure clinico assistenziali;gestione e cambio peg e sng;017t;;;
procedure clinico assistenziali;Bendaggi;017t;;;
procedure clinico assistenziali;Gestione drenaggi;017t;;;
procedure clinico assistenziali;Gestione drenaggi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali e relative terapie;017t;;;
PAI, pianificazione, valutazione;scale di valutazione;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie endovenose;017t;;;
PAI, pianificazione, valutazione;valutazione ambiente domestico degli utenti e attivazione di percorsi utili alla famiglia presenti sul territorio;017t;;;
;;017t;;;
;;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
procedure clinico assistenziali;cateterismo vescicale;017t;;;
Educazione Sanitaria;Educazione sanitaria gestione della tracheostomia;017t;;;
;;017t;;;
Medicazione semplice;fasciature semplici;017t;;;
Medicazione semplice;fasciature semplici;017t;;;
PAI, pianificazione, valutazione;Breafing;017t;;;
;;017t;;;
;;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;017t;;;
procedure clinico assistenziali;mobilizzazione pz.;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione/lavaggio cateteri venosi centrali;017t;;;
;;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione port a cath;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi e microbiologici;017t;;;
;;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazione pic e midline;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni albumina;017t;;;
procedure clinico assistenziali;GESTIONE PEG;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione fleboterapia;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia endovenosa;017t;;;
Monitoraggi e Misurazioni;CONTROLLO PARAMETRI VITALI;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievi ematici;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;PRELIEVI VENOSI;017t;;;
procedure clinico assistenziali;gestione derivazioni urinarie;017t;;;
Educazione Sanitaria;supporto psicologico alla famiglia;017t;;;
;;;;;
;;;;;
procedure clinico assistenziali;gestione drenaggi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione accessi venosi centrali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione fleboterapia;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
Medicazioni Avanzate;Gestione vac terapy;017t;;;
Educazione Sanitaria;Educazione sanitaria;017t;;;
procedure clinico assistenziali;Gestione alvo;017t;;;
procedure clinico assistenziali;gestione tracheo;017t;;;
procedure clinico assistenziali;Promozione della salute;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi vasolari centrali e periferici;017t;;;
procedure clinico assistenziali;bendaggi;017t;;;
;;;;;
;;;;;
Cure Palliative;Gestione paziente oncologico;017t;;;
procedure clinico assistenziali;gestione Peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venoso domiciliare;017t;;;
procedure clinico assistenziali;Clisteri evacuativi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;cateterismo venoso;017t;;;
procedure clinico assistenziali;igiene;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione catetere accessi venosi centrali e periferici;017t;;;
procedure clinico assistenziali;LAVAGGI VESCICALI;017t;;;
;;;;;
procedure clinico assistenziali;gestioni cetetere vescicale cure palliative;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;INFUSIONE TERAPIA PER VIA ENDOVENOSA;017t;;;
procedure clinico assistenziali;Gestione alvo;017t;;;
procedure clinico assistenziali;Drenaggi gestione;017t;;;
procedure clinico assistenziali;gestione peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione catetere venoso periferico;017t;;;
procedure clinico assistenziali;gestione SNG;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestioni caterei centrali;017t;;;
Medicazioni Avanzate;Medicazioni complesse;017t;;;
procedure clinico assistenziali;Clisma Evacuativo;017t;;;
PAI, pianificazione, valutazione;visita domiciliare con chirurgo;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione cvc;017t;;;
procedure clinico assistenziali;terapia s/c;017t;;;
procedure clinico assistenziali;terapia im;017t;;;
procedure clinico assistenziali;gestione alvo;017t;;;
procedure clinico assistenziali;mobilizione;017t;;;
Medicazione semplice;medicazioni ferite chirurgiche;017t;;;
;;;;;
;;;;;
Educazione Sanitaria;educazione care giver;017t;;;
Educazione Sanitaria;educazione sanitaria care giver;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;somministrazione nutrizione parenterale totale;017t;;;
procedure clinico assistenziali;GESTIONE DRENAGGI;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;somministrazione di emoderivati;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie infusionali;017t;;;
;;;;;
Medicazione semplice;bendaggi elestacompressivi;017t;;;
Medicazioni Avanzate;medicazione ulcere;017t;;;
Educazione Sanitaria;educazione prevenzione cadute;017t;;;
Educazione Sanitaria;supporto al care giver;017t;;;
procedure clinico assistenziali;CLISMI EVACUANTI,MEDICATI,RIMOZIONE FECALOMI;017t;;;
procedure clinico assistenziali;bendaggi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale endovenosa e sottocutanea;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
Medicazioni Avanzate;medicazioni con tpn;017t;;;
Educazione Sanitaria;EDUCAZIONE SANITARIA PER LA GESTIONE DI PEG, STOMIE (COMPRESE TRACHEOSTOMIE) ED EVENTUALE ASSISTENZA IN CASO DI ASSENZA DI CARE GIVER ADEGUATO;017t;;;
procedure clinico assistenziali;gestione drenaggi urinari/renali;017t;;;
procedure clinico assistenziali;inserimento,e sostituzione catetere vescicale e sua gestione;017t;;;
PAI, pianificazione, valutazione;consulenze telefoniche;017t;;;
;;;;;
procedure clinico assistenziali;gestione ntp;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione sacche npt;017t;;;
procedure clinico assistenziali;gestione stomia;017t;;;
procedure clinico assistenziali;NPT;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi venosi;017t;;;
;;;;;
Medicazione semplice;Medicazioni accessi venosi centrali;017t;;;
procedure clinico assistenziali;gestione tracheo;017t;;;
procedure clinico assistenziali;Drenaggio toracico;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi nematici;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi ematici e microbiologici;017t;;;
procedure clinico assistenziali;Gestione drenaggio;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusioni liquidi;017t;;;
Medicazione semplice;bendaggi elasocompressivi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;infusione farmaci e npt;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Gestione CV;017t;;;
;;;;;
Medicazioni Avanzate;lesioni chirurgiche;017t;;;
;;;;;
procedure clinico assistenziali;PIGTAIL;017t;;;
Medicazioni Avanzate;gestione lesioni arti inferiori di natura vascolare o diabetica;017t;;;
procedure clinico assistenziali;gestioni peg;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;preparazione dispositivi di infusione;017t;;;
;;;;;
;;;;;
Medicazione semplice;medicazioni chirurgiche;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione pompe antalgiche;017t;;;
procedure clinico assistenziali;GESTIONE DELL'ALVO;017t;;;
Medicazioni Avanzate;medicazioni drenaggi;017t;;;
procedure clinico assistenziali;clisma evacuatico e/o medicato;017t;;;
Cure Palliative;Pz con la sla attaccati al ventilatore;017t;;;
procedure clinico assistenziali;bendaggio elastocompressivo;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapia endovenosa;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione accessi venosi centrali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione cvc;017t;;;
procedure clinico assistenziali;gestione nutrizioni enterali;017t;;;
procedure clinico assistenziali;clisteri;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapie endovenose (compresa albunina ev);017t;;;
;;;;;
;;;;;
Educazione Sanitaria;Educazione sanitaria utilizzo degli apparecchi elettromedicali;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione terapia antalgica;017t;;;
PAI, pianificazione, valutazione;presa in carico del nucleo familiare per i percorsi socio-sanitari;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;prelievo venosi;017t;;;
;;;;;
;;;;;
Medicazioni Avanzate;terapia a pressione negativa;017t;;;
Medicazione semplice;bendaggi elastocompressivi;017t;;;
procedure clinico assistenziali;sostituzione cateteri vescicali;017t;;;
procedure clinico assistenziali;Gestione stomie;017t;;;
procedure clinico assistenziali;gestione drenaggi;017t;;;
procedure clinico assistenziali;npt;017t;;;
Medicazione semplice;bendaggi elastocompressivi;017t;;;
procedure clinico assistenziali;Gestione drenaggi;017t;;;
Medicazione semplice;bendaggi elastocompressivi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;medicazioni picc e lavaggio;017t;;;
procedure clinico assistenziali;terapia insulinica;017t;;;
procedure clinico assistenziali;gestione tracheostomia;017t;;;
Monitoraggi e Misurazioni;controllo compliance terapeutica;017t;;;
PAI, pianificazione, valutazione;tenuta documentazione su cartella domiciliare e registrazione di prestazioni su applicativo regionale e condivisione del caso con MMG e colleghi coinvolti;017t;;;
procedure clinico assistenziali;Gestione tracheostomie;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali e gestione accessi venosi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Prelievo ematico e cultura;017t;;;
PAI, pianificazione, valutazione;Compilazione schede sanitarie per uvm;017t;;;
Medicazione semplice;Elastocompressioni;017t;;;
procedure clinico assistenziali;Gestione cateteri vescicali;017t;;;
procedure clinico assistenziali;gestione stomie;017t;;;
procedure clinico assistenziali;Gestione delle vie aeree;017t;;;
procedure clinico assistenziali;gestione nutrizione parenterale e enterale;017t;;;
procedure clinico assistenziali;gestione nutrizione parenterale ed enterale;017t;;;
Medicazione semplice;medicazione ferite traumatiche;017t;;;
;;;;;
procedure clinico assistenziali;bendaggi;017t;;;
Educazione Sanitaria;supporto relazionale;017t;;;
Educazione Sanitaria;EDUCAZIONE SANITARIA CARE GIVER, MOBILIZZAZIONE;017t;;;
procedure clinico assistenziali;gestione cateteri vescicali;017t;;;
procedure clinico assistenziali;terapie con elastomero;017t;;;
procedure clinico assistenziali;Gestione derivazioni urinarie;017t;;;
procedure clinico assistenziali;gestione npt;017t;;;
;;;;;
Medicazioni Avanzate;medicazione e gestione drenaggi;017t;;;
;;;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;Terapie infusionali;017t;;;
procedure clinico assistenziali;gestione  catetere vescicale;017t;;;
procedure clinico assistenziali;gestione stomie urostomia;017t;;;
Educazione Sanitaria;ed sanitaria al caregiver;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;terapia infusionale;017t;;;
procedure clinico assistenziali;Terapia sottocute;017t;;;
Medicazione semplice;Bendaggio elasto compressione;017t;;;
procedure clinico assistenziali;gestione nutrizione enterale e parenterale;017t;;;
procedure clinico assistenziali;gestione cateteri vescicali;017t;;;
;;;;;
procedure clinico assistenziali;tamponi;017t;;;
Accesso Vascolare, Terapia Infusiva, Prelievo Ematico;gestione nutrizione parenterale totale;017t;;;
procedure clinico assistenziali;iniezioni intramuscolari;017t;;;
procedure clinico assistenziali;sostituzione sng e peg;017t;;;
;;;;;
Monitoraggi e Misurazioni;parametri vitali;017t;;;
Educazione Sanitaria;Educazione alla gestione del catetere vescicale;017t;;;
