index	macroprestazione	testo	testo_pulito	testo_corretto	cod_valoremedio_liquidazione	descr_cod_valoremedio_liquidazione
25982	procedure clinico assistenziali	Mobilizzazione	mobilizzazione	mobilizzazione	017T	Somministrazione dei medicinali per via topica
25983	procedure clinico assistenziali	gestione tracheotomie	gestione tracheotomie	gestione tracheostomia	017T	Somministrazione dei medicinali per via topica
25984	procedure clinico assistenziali	Gestione cannula tracheostomie	gestione cannula tracheostomie	gestione cannula tracheostomia	017T	Somministrazione dei medicinali per via topica
25985	procedure clinico assistenziali	Alimentazione enterale	alimentazione enterale	alimentazione enterale	017T	Somministrazione dei medicinali per via topica
25987	procedure clinico assistenziali	Gestione Pic o Port	gestione pic o port	gestione peripherally inserted central catheter o port-a-cath	017T	Somministrazione dei medicinali per via topica
25988	procedure clinico assistenziali	Sostituzione cannula tracheiostomica	sostituzione cannula tracheiostomica	sostituzione cannula tracheostomia	017T	Somministrazione dei medicinali per via topica
25989	procedure clinico assistenziali	Gestione e posizionamento Peg	gestione e posizionamento peg	gestione e posizionamento gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
25990	procedure clinico assistenziali	Gestione CV	gestione cv	gestione catetere venoso	017T	Somministrazione dei medicinali per via topica
25994	Medicazioni Avanzate	Medicazione lesioni da decubito	medicazione lesioni da decubito	medicazione lesioni da decubito	017T	Somministrazione dei medicinali per via topica
26001	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione PICC	gestione picc	gestione peripherally inserted central catheter	017T	Somministrazione dei medicinali per via topica
26002	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Emotrasfusioni	emotrasfusioni	emotrasfusione	017T	Somministrazione dei medicinali per via topica
26004	procedure clinico assistenziali	Nutrizione enterale	nutrizione enterale	nutrizione enterale	017T	Somministrazione dei medicinali per via topica
26007	procedure clinico assistenziali	Nutrizione Enterale	nutrizione enterale	nutrizione enterale	017T	Somministrazione dei medicinali per via topica
26009	Monitoraggi e Misurazioni	rivalutazioni successive della lesione in autonomia	rivalutazioni successive della lesione in autonomia	rivalutazione successiva della lesione in autonomia	017T	Somministrazione dei medicinali per via topica
26010	PAI, pianificazione, valutazione	rivalutazioni congiunte con il chirurgo	rivalutazioni congiunte con il chirurgo	rivalutazione congiunto con il chirurgo	017T	Somministrazione dei medicinali per via topica
26011	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26012	procedure clinico assistenziali	Gestione stomie	gestione stomie	gestione stomie	017T	Somministrazione dei medicinali per via topica
26013	procedure clinico assistenziali	Gestione Peg	gestione peg	gestione gastrostomia endoscopica percutanea	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
26014	procedure clinico assistenziali	terapia infusionale in sc	terapia infusionale in sc	terapia infusionale in sottocute	017T	Somministrazione dei medicinali per via topica
26015	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	017T	Somministrazione dei medicinali per via topica
26016	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	017T	Somministrazione dei medicinali per via topica
26018	Educazione Sanitaria	addestramento	addestramento	addestramento	017T	Somministrazione dei medicinali per via topica
26019	procedure clinico assistenziali	Rettoclisi	rettoclisi	rettoclisi	017T	Somministrazione dei medicinali per via topica
26021	Medicazione semplice	fasciature e bendaggi	fasciature e bendaggi	fasciatura e bendaggio	017T	Somministrazione dei medicinali per via topica
26023	Cure Palliative	GESTIONE ELASTOMERI	gestione elastomeri	gestione elastomero	017T	Somministrazione dei medicinali per via topica
26024	Educazione Sanitaria	addestramento	addestramento	addestramento	017T	Somministrazione dei medicinali per via topica
26025	Cure Palliative	sostituzione elastomeri	sostituzione elastomeri	sostituzione elastomero	017T	Somministrazione dei medicinali per via topica
26027	procedure clinico assistenziali	mobilizzazione	mobilizzazione	mobilizzazione	017T	Somministrazione dei medicinali per via topica
26028	Monitoraggi e Misurazioni	sorveglianza infermieristica	sorveglianza infermieristica	sorveglianza infermieristico	017T	Somministrazione dei medicinali per via topica
26030	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	terapia ev	terapia ev	terapia endovena	017T	Somministrazione dei medicinali per via topica
26031	procedure clinico assistenziali	Cateteri vescicali	cateteri vescicali	catetere vescicale	017T	Somministrazione dei medicinali per via topica
26032	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione cvc e cvp	gestione cvc e cvp	gestione catetere venoso centrale e catetere venoso periferico	017T	Somministrazione dei medicinali per via topica
26033	Medicazione semplice	medicazioni cvc	medicazioni cvc	medicazione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26035	procedure clinico assistenziali	drenaggio toracico	drenaggio toracico	drenaggio toracico	017T	Somministrazione dei medicinali per via topica
26036	procedure clinico assistenziali	Terapie ipodermiche	terapie ipodermiche	terapia ipodermico	017T	Somministrazione dei medicinali per via topica
26037	Cure Palliative	VALUTAZIONE DEL DOLORE	valutazione del dolore	valutazione del dolore	017T	Somministrazione dei medicinali per via topica
26038	Educazione Sanitaria	addestramento	addestramento	addestramento	017T	Somministrazione dei medicinali per via topica
26039	procedure clinico assistenziali	Terapia intramuscolare	terapia intramuscolare	terapia intramuscolare	017T	Somministrazione dei medicinali per via topica
26040	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26041	procedure clinico assistenziali	Gestione PEG/ TRACHEO	gestione peg  tracheo	gestione gastrostomia endoscopica percutanea tracheostomia	055T	Preparazione e somministrazione di alimenti speciali attraverso sonda gastrica K> mediante pompa enterale (anche nel bambino).
26042	PAI, pianificazione, valutazione	Burocrazia	burocrazia	burocrazia	017T	Somministrazione dei medicinali per via topica
26044	procedure clinico assistenziali	igiene e mobilizzazione	igiene e mobilizzazione	igiene e mobilizzazione	017T	Somministrazione dei medicinali per via topica
26045	Educazione Sanitaria	Educazione terapeutica	educazione terapeutica	educazione terapeutica	017T	Somministrazione dei medicinali per via topica
26046	procedure clinico assistenziali	Bendaggi	bendaggi	bendaggio	017T	Somministrazione dei medicinali per via topica
26047	Medicazione semplice	Medicazioni CVC, CVP	medicazioni cvc  cvp	medicazione catetere venoso centrale catetere venoso periferico	017T	Somministrazione dei medicinali per via topica
26048	Educazione Sanitaria	Supporto	supporto	supporto	017T	Somministrazione dei medicinali per via topica
26049	procedure clinico assistenziali	clisteri	clisteri	clistere	017T	Somministrazione dei medicinali per via topica
26050	PAI, pianificazione, valutazione	Osservazione infermieristica	osservazione infermieristica	osservazione infermieristico	017T	Somministrazione dei medicinali per via topica
26051	procedure clinico assistenziali	sostituzione foley	sostituzione foley	sostituzione foley	017T	Somministrazione dei medicinali per via topica
26052	Educazione Sanitaria	counseling	counseling	counselling	017T	Somministrazione dei medicinali per via topica
26053	Cure Palliative	gestione paziente in cure palliative	gestione paziente in cure palliative	gestione paziente in cura palliative	017T	Somministrazione dei medicinali per via topica
26054	Medicazione semplice	medicazioni accessi venosi centrali	medicazioni accessi venosi centrali	medicazione accesso venoso centrale	017T	Somministrazione dei medicinali per via topica
26055	procedure clinico assistenziali	cateteri vescicali	cateteri vescicali	catetere vescicale	017T	Somministrazione dei medicinali per via topica
26057	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	posizionamento catetere vescicale	posizionamento catetere vescicale	posizionamento catetere vescicale	017T	Somministrazione dei medicinali per via topica
26058	Educazione Sanitaria	Relazione d'aiuto	relazione d aiuto	relazione d aiuto	017T	Somministrazione dei medicinali per via topica
26059	Monitoraggi e Misurazioni	Sorveglianza paziente	sorveglianza paziente	sorveglianza paziente	017T	Somministrazione dei medicinali per via topica
26060	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26061	Educazione Sanitaria	Sostegno ai familiari	sostegno ai familiari	sostegno ai familiare	017T	Somministrazione dei medicinali per via topica
26062	Monitoraggi e Misurazioni	Monitoraggio e sorveglianza	monitoraggio e sorveglianza	monitoraggio e sorveglianza	017T	Somministrazione dei medicinali per via topica
26063	procedure clinico assistenziali	gestione alvo/enterostomie	gestione alvo enterostomie	gestione alvo enterostomia	017T	Somministrazione dei medicinali per via topica
26064	Educazione Sanitaria	Supporto psicologico	supporto psicologico	supporto psicologico	017T	Somministrazione dei medicinali per via topica
26065	altro	Affiancare studenti infermieristica	affiancare studenti infermieristica	affiancare studente infermieristico	017T	Somministrazione dei medicinali per via topica
26066	PAI, pianificazione, valutazione	Aperture  cartelle a  domicilio	aperture  cartelle a  domicilio	apertura cartella a domicilio	017T	Somministrazione dei medicinali per via topica
26067	Educazione Sanitaria	educazione /addestramento	educazione  addestramento	educazione addestramento	017T	Somministrazione dei medicinali per via topica
26068	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26069	procedure clinico assistenziali	gestione cateterismo	gestione cateterismo	gestione cateterismo	017T	Somministrazione dei medicinali per via topica
26070	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione cvc	gestione cvc	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26073	Educazione Sanitaria	supporto psicologico	supporto psicologico	supporto psicologico	017T	Somministrazione dei medicinali per via topica
26074	procedure clinico assistenziali	gestione terapia	gestione terapia	gestione terapia	017T	Somministrazione dei medicinali per via topica
26075	Educazione Sanitaria	trasferimento competenze	trasferimento competenze	trasferimento competenze	017T	Somministrazione dei medicinali per via topica
26076	Educazione Sanitaria	educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26077	procedure clinico assistenziali	Ecg	ecg	elettrocardiogramma	017T	Somministrazione dei medicinali per via topica
26078	procedure clinico assistenziali	gestione catetere venoso centrale	gestione catetere venoso centrale	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26079	procedure clinico assistenziali	gestione catetere venoso centrale	gestione catetere venoso centrale	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26080	procedure clinico assistenziali	terapia ev e ipodermica	terapia ev e ipodermica	terapia endovena e ipodermico	017T	Somministrazione dei medicinali per via topica
26081	Monitoraggi e Misurazioni	sorveglianza e/o educazione terapeutica	sorveglianza e o educazione terapeutica	sorveglianza e o educazione terapeutica	017T	Somministrazione dei medicinali per via topica
26082	Cure Palliative	preparazione terapia antalgica	preparazione terapia antalgica	preparazione terapia antalgico	017T	Somministrazione dei medicinali per via topica
26083	Cure Palliative	assistenza a fine vita	assistenza a fine vita	assistenza a fine vita	017T	Somministrazione dei medicinali per via topica
26084	Educazione Sanitaria	Prevenzione delle lesioni da decubito	prevenzione delle lesioni da decubito	prevenzione delle lesioni da decubito	017T	Somministrazione dei medicinali per via topica
26085	procedure clinico assistenziali	peretta	peretta	peretta	017T	Somministrazione dei medicinali per via topica
26086	Monitoraggi e Misurazioni	controllo sintomatologia	controllo sintomatologia	controllo sintomatologia	017T	Somministrazione dei medicinali per via topica
26087	procedure clinico assistenziali	Gestione/sostituzione catetere vescicale	gestione sostituzione catetere vescicale	gestione sostituzione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26088	PAI, pianificazione, valutazione	congiunte con medico e assistente sociale per problematiche sociali	congiunte con medico e assistente sociale per problematiche sociali	congiunto con medico e assistente sociale per problematico sociale	017T	Somministrazione dei medicinali per via topica
26089	procedure clinico assistenziali	gestione alvo/ enterostomie	gestione alvo  enterostomie	gestione alvo enterostomia	017T	Somministrazione dei medicinali per via topica
26090	procedure clinico assistenziali	cambio catetere vescicale	cambio catetere vescicale	cambio catetere vescicale	017T	Somministrazione dei medicinali per via topica
26091	Educazione Sanitaria	relazione terapeutica utente e famigliari	relazione terapeutica utente e famigliari	relazione terapeutica utente e familiare	017T	Somministrazione dei medicinali per via topica
26093	Medicazione semplice	Medicazione	medicazione	medicazione	017T	Somministrazione dei medicinali per via topica
26095	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione CVC	gestione cvc	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26096	Educazione Sanitaria	Addestramento parenti assistenti	addestramento parenti assistenti	addestramento parenti assistente	017T	Somministrazione dei medicinali per via topica
26097	procedure clinico assistenziali	Terapia sottocutanea	terapia sottocutanea	terapia sotto cutanea	017T	Somministrazione dei medicinali per via topica
26099	Medicazioni Avanzate	Prevenzione lesioni da pressione	prevenzione lesioni da pressione	prevenzione lesioni da pressione	017T	Somministrazione dei medicinali per via topica
26100	Educazione Sanitaria	addestramento	addestramento	addestramento	017T	Somministrazione dei medicinali per via topica
26101	Cure Palliative	cure palliative	cure palliative	cura palliative	017T	Somministrazione dei medicinali per via topica
26102	Educazione Sanitaria	Educazione alla postura preventiva per gli edemi declivi	educazione alla postura preventiva per gli edemi declivi	educazione alla postura prevenzione per gli edema declive	017T	Somministrazione dei medicinali per via topica
26103	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	PRELIEVI	prelievi	prelievo	017T	Somministrazione dei medicinali per via topica
26105	procedure clinico assistenziali	cateterismi vescicali	cateterismi vescicali	cateterismo vescicale	017T	Somministrazione dei medicinali per via topica
26106	procedure clinico assistenziali	NTP	ntp	npt	017T	Somministrazione dei medicinali per via topica
26107	procedure clinico assistenziali	gestione terapia in  ipodermoclisi	gestione terapia in  ipodermoclisi	gestione terapia in ipodermoclisi	017T	Somministrazione dei medicinali per via topica
26108	procedure clinico assistenziali	Gestione alvo, canalizzazione su prescrizione	gestione alvo  canalizzazione su prescrizione	gestione alvo canalizzazione su prescrizione	017T	Somministrazione dei medicinali per via topica
26109	procedure clinico assistenziali	Gestione NPT	gestione npt	gestione nutrizione parenterale totale	017T	Somministrazione dei medicinali per via topica
26110	Cure Palliative	Cure palliative	cure palliative	cura palliative	017T	Somministrazione dei medicinali per via topica
26111	procedure clinico assistenziali	Gestione rapporto  con medico di base e curante sma	gestione rapporto  con medico di base e curante sma	gestione rapporto con medico di base e curante atrofia muscolare spinale	017T	Somministrazione dei medicinali per via topica
26112	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accesso venoso periferico	gestione accesso venoso periferico	gestione accesso venoso periferico	017T	Somministrazione dei medicinali per via topica
26114	PAI, pianificazione, valutazione	interventi di rete	interventi di rete	intervento di rete	017T	Somministrazione dei medicinali per via topica
26116	PAI, pianificazione, valutazione	Consulenza	consulenza	consulenza	017T	Somministrazione dei medicinali per via topica
26117	Medicazioni Avanzate	Piaghe da decupito	piaghe da decupito	piaga da decubito	017T	Somministrazione dei medicinali per via topica
26118	Medicazione semplice	Bendaggio arti inferiori	bendaggio arti inferiori	bendaggio arto inferiore	017T	Somministrazione dei medicinali per via topica
26119	procedure clinico assistenziali	Gestione nefrostomie	gestione nefrostomie	gestione nefrostomia	017T	Somministrazione dei medicinali per via topica
26120	Medicazioni Avanzate	Medicazione piede diabetico	medicazione piede diabetico	medicazione piede diabetico	017T	Somministrazione dei medicinali per via topica
26121	procedure clinico assistenziali	Gestione alvo	gestione alvo	gestione alvo	017T	Somministrazione dei medicinali per via topica
26122	Medicazioni Avanzate	Medicazioni complesse	medicazioni complesse	medicazione complesso	017T	Somministrazione dei medicinali per via topica
26123	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovena	terapia endovena	terapia endovena	017T	Somministrazione dei medicinali per via topica
26124	procedure clinico assistenziali	Sondino naso gastrico	sondino naso gastrico	sondino naso gastrico	017T	Somministrazione dei medicinali per via topica
26129	procedure clinico assistenziali	gestione stomie, drenaggi,	gestione stomie  drenaggi 	gestione stomie drenaggio	017T	Somministrazione dei medicinali per via topica
26130	procedure clinico assistenziali	gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26131	procedure clinico assistenziali	Preparazione e Gestione Pompa Elastomerica	preparazione e gestione pompa elastomerica	preparazione e gestione pompa elastomerico	017T	Somministrazione dei medicinali per via topica
26133	Cure Palliative	Cure palliative	cure palliative	cura palliative	017T	Somministrazione dei medicinali per via topica
26134	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26135	procedure clinico assistenziali	Gestione peg	gestione peg	gestione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26137	procedure clinico assistenziali	Clisma intestinale	clisma intestinale	clisma intestinale	017T	Somministrazione dei medicinali per via topica
26138	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovena	terapia endovena	terapia endovena	017T	Somministrazione dei medicinali per via topica
26139	procedure clinico assistenziali	Sottocute	sottocute	sotto cutanea	017T	Somministrazione dei medicinali per via topica
26140	Cure Palliative	Gestione elastomeri	gestione elastomeri	gestione elastomero	017T	Somministrazione dei medicinali per via topica
26141	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Nutrizione parentersle	nutrizione parentersle	nutrizione parenterale	017T	Somministrazione dei medicinali per via topica
26142	procedure clinico assistenziali	Gestione PEG	gestione peg	gestione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26143	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	017T	Somministrazione dei medicinali per via topica
26144	Educazione Sanitaria	addestramento  PEG	addestramento  peg	addestramento gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26145	Medicazione semplice	Bendaggi elastocompressivi	bendaggi elastocompressivi	bendaggio elastocompressivo	017T	Somministrazione dei medicinali per via topica
26146	procedure clinico assistenziali	Gestione sng/peg	gestione sng peg	gestione sondino naso gastrico gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26147	Cure Palliative	Cure palliative	cure palliative	cura palliative	017T	Somministrazione dei medicinali per via topica
26149	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione picc	gestione picc	gestione peripherally inserted central catheter	017T	Somministrazione dei medicinali per via topica
26151	Medicazione semplice	elastocompressioni	elastocompressioni	elastocompressivo	017T	Somministrazione dei medicinali per via topica
26153	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	INFUSIONI EV	infusioni ev	infusione endovena	017T	Somministrazione dei medicinali per via topica
26154	procedure clinico assistenziali	Lavaggio port	lavaggio port	lavaggio port-a-cath	017T	Somministrazione dei medicinali per via topica
26155	procedure clinico assistenziali	Terapie I.M	terapie i m	terapia i m	017T	Somministrazione dei medicinali per via topica
26156	procedure clinico assistenziali	CATETERIZZAZIONE VESCICALE	cateterizzazione vescicale	cateterizzazione vescicale	017T	Somministrazione dei medicinali per via topica
26157	procedure clinico assistenziali	gestione catetere vescicale	gestione catetere vescicale	gestione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26158	Medicazione semplice	rimozioni punti	rimozioni punti	rimozione punti	017T	Somministrazione dei medicinali per via topica
26159	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapie infusionali	terapie infusionali	terapia infusionale	017T	Somministrazione dei medicinali per via topica
26160	Educazione Sanitaria	Educazione sanitaria	educazione sanitaria	educazione sanitario	017T	Somministrazione dei medicinali per via topica
26161	Educazione Sanitaria	Supporto al caregiver	supporto al caregiver	supporto al caregiver	017T	Somministrazione dei medicinali per via topica
26162	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievi venosi e/o microbiologici	prelievi venosi e o microbiologici	prelievo venoso e o microbiologico	017T	Somministrazione dei medicinali per via topica
26163	Educazione Sanitaria	Addestramento gestione terapie endovena e accessi venosi	addestramento gestione terapie endovena e accessi venosi	addestramento gestione terapia endovena e accesso venoso	017T	Somministrazione dei medicinali per via topica
26164	Medicazioni Avanzate	Medicazione drenaggi	medicazione drenaggi	medicazione drenaggio	017T	Somministrazione dei medicinali per via topica
26165	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	017T	Somministrazione dei medicinali per via topica
26166	Educazione Sanitaria	Addestramento a cura della persona	addestramento a cura della persona	addestramento a cura della persona	017T	Somministrazione dei medicinali per via topica
26167	procedure clinico assistenziali	gestione stomie	gestione stomie	gestione stomie	017T	Somministrazione dei medicinali per via topica
26169	Medicazioni Avanzate	Medicazioni drenaggi	medicazioni drenaggi	medicazione drenaggio	017T	Somministrazione dei medicinali per via topica
26170	procedure clinico assistenziali	Inserimento e sostituzione catetere vescicale	inserimento e sostituzione catetere vescicale	inserimento e sostituzione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26172	procedure clinico assistenziali	Gestione cateteri vescicali	gestione cateteri vescicali	gestione catetere vescicale	017T	Somministrazione dei medicinali per via topica
26173	procedure clinico assistenziali	Gestione nutrizione entrate	gestione nutrizione entrate	gestione nutrizione entrata	017T	Somministrazione dei medicinali per via topica
26174	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	terapia endovenoso	017T	Somministrazione dei medicinali per via topica
26175	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione catere venoso centrale	gestione catere venoso centrale	gestione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
26176	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi	prelievi	prelievo	017T	Somministrazione dei medicinali per via topica
26177	procedure clinico assistenziali	Nutrizione parenterale	nutrizione parenterale	nutrizione parenterale	017T	Somministrazione dei medicinali per via topica
26178	procedure clinico assistenziali	Lavaggio porth	lavaggio porth	lavaggio port-a-cath	017T	Somministrazione dei medicinali per via topica
26179	Medicazione semplice	Medicazioni semplici	medicazioni semplici	medicazione semplice	017T	Somministrazione dei medicinali per via topica
26180	procedure clinico assistenziali	Terapia iniettiva	terapia iniettiva	terapia iniettivo	017T	Somministrazione dei medicinali per via topica
26182	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	017T	Somministrazione dei medicinali per via topica
26185	PAI, pianificazione, valutazione	REGISTRAZIONE IN CARTELLA DELLA SITUAZIONE CLINICA DEL PZ	registrazione in cartella della situazione clinica del pz	registrazione in cartella della situazione clinica del paziente	017T	Somministrazione dei medicinali per via topica
26186	Medicazioni Avanzate	Vac therapy	vac therapy	terapia	017T	Somministrazione dei medicinali per via topica
26187	procedure clinico assistenziali	assistenza pz durante esami strumentali e diagnostico terapeutici	assistenza pz durante esami strumentali e diagnostico terapeutici	assistenza paziente durante esame strumentale e diagnostico terapeutico	017T	Somministrazione dei medicinali per via topica
26188	procedure clinico assistenziali	iniezioni intramuscolo	iniezioni intramuscolo	iniezione intramuscolo	017T	Somministrazione dei medicinali per via topica
26189	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	prelievo ematico	prelievo ematico	prelievo ematico	017T	Somministrazione dei medicinali per via topica
26190	procedure clinico assistenziali	Gestione delle stomie	gestione delle stomie	gestione delle stomie	017T	Somministrazione dei medicinali per via topica
26191	Educazione Sanitaria	colloquio infermieristico con familiari	colloquio infermieristico con familiari	colloquio infermieristico con familiare	017T	Somministrazione dei medicinali per via topica
26192	procedure clinico assistenziali	gestione pazienti con tracheostomie/tracheotomie/ventilazione meccanica e loro caregiver	gestione pazienti con tracheostomie tracheotomie ventilazione meccanica e loro caregiver	gestione paziente con tracheostomia tracheostomia ventilazione meccanico e loro caregiver	017T	Somministrazione dei medicinali per via topica
26193	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia antibiotica	terapia antibiotica	terapia antibiotico	017T	Somministrazione dei medicinali per via topica
26194	procedure clinico assistenziali	Terapia iniettiva intramuscolare e sottocutanea	terapia iniettiva intramuscolare e sottocutanea	terapia iniettivo intramuscolare e sotto cutanea	017T	Somministrazione dei medicinali per via topica
26196	Medicazione semplice	Medicazione semplice	medicazione semplice	medicazione semplice	017T	Somministrazione dei medicinali per via topica
26197	procedure clinico assistenziali	Gestione cateteri vescicali e drenaggi	gestione cateteri vescicali e drenaggi	gestione catetere vescicale e drenaggio	017T	Somministrazione dei medicinali per via topica
26199	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi vascolari	gestione accessi vascolari	gestione accesso vascolare	017T	Somministrazione dei medicinali per via topica
26200	Medicazione semplice	Medicazione Peg	medicazione peg	medicazione gastrostomia endoscopica percutanea	017T	Somministrazione dei medicinali per via topica
26201	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	gestione catetere venoso periferico	gestione catetere venoso periferico	gestione catetere venoso periferico	017T	Somministrazione dei medicinali per via topica
26202	procedure clinico assistenziali	Lavaggio port	lavaggio port	lavaggio port-a-cath	017T	Somministrazione dei medicinali per via topica
26203	procedure clinico assistenziali	Gestione Sng	gestione sng	gestione sondino naso gastrico	017T	Somministrazione dei medicinali per via topica
26204	procedure clinico assistenziali	Cambio catetere vescicale	cambio catetere vescicale	cambio catetere vescicale	017T	Somministrazione dei medicinali per via topica
26205	procedure clinico assistenziali	Terapia intramuscolare	terapia intramuscolare	terapia intramuscolare	017T	Somministrazione dei medicinali per via topica
26206	procedure clinico assistenziali	terapia iniettiva intramuscolare	terapia iniettiva intramuscolare	terapia iniettivo intramuscolare	017T	Somministrazione dei medicinali per via topica
26207	Cure Palliative	gestione dolore	gestione dolore	gestione dolore	017T	Somministrazione dei medicinali per via topica
26208	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Gestione accessi venosi centrali	gestione accessi venosi centrali	gestione accesso venoso centrale	017T	Somministrazione dei medicinali per via topica
26209	Cure Palliative	Gestione utenti in cure palliative	gestione utenti in cure palliative	gestione utente in cura palliative	017T	Somministrazione dei medicinali per via topica
26210	procedure clinico assistenziali	Gestione sondini nasogastrici	gestione sondini nasogastrici	gestione sondino nasogastrico	017T	Somministrazione dei medicinali per via topica
26211	procedure clinico assistenziali	im ,sc,	im  sc 	instramuscolare sottocute	017T	Somministrazione dei medicinali per via topica
26212	procedure clinico assistenziali	gestione cateterismi/urostomie	gestione cateterismi urostomie	gestione cateterismo urostomia	017T	Somministrazione dei medicinali per via topica
26213	procedure clinico assistenziali	gestione alvo- clisma evacuativo	gestione alvo  clisma evacuativo	gestione alvo clisma evacuativo	017T	Somministrazione dei medicinali per via topica
26214	Educazione Sanitaria	Educazione al care giver utilizzo presidi	educazione al care giver utilizzo presidi	educazione al caregiver caregiver utilizzo presidi	017T	Somministrazione dei medicinali per via topica
26215	Educazione Sanitaria	Educazione al caregiver mobilizzazione e prevenzione	educazione al caregiver mobilizzazione e prevenzione	educazione al caregiver mobilizzazione e prevenzione	017T	Somministrazione dei medicinali per via topica
26216	procedure clinico assistenziali	Sondini	sondini	sondino	017T	Somministrazione dei medicinali per via topica
26217	procedure clinico assistenziali	gestione dell' alvo	gestione dell  alvo	gestione dell alvo	017T	Somministrazione dei medicinali per via topica
26218	Educazione Sanitaria	Supporto al caregiver	supporto al caregiver	supporto al caregiver	017T	Somministrazione dei medicinali per via topica
26220	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Terapia endovenosa	terapia endovenosa	terapia endovenoso	017T	Somministrazione dei medicinali per via topica
26221	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	017T	Somministrazione dei medicinali per via topica
26222	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Prelievi ematici	prelievi ematici	prelievo ematico	017T	Somministrazione dei medicinali per via topica
26223	Accesso Vascolare, Terapia Infusiva, Prelievo Ematico	Medicazione cvc	medicazione cvc	medicazione catetere venoso centrale	017T	Somministrazione dei medicinali per via topica
